group,cell,condition,variant,window_count,valid_count,candidate_count,cluster_count,concentration,disagreement,unknown_mass,available
cea-09,joint,removal,1,14,13,2,2,0.8631466444428468,0.13685335555715317,0.07196068706724745,1
cea-09,joint,removal,1,8,8,1,1,1.0,0.0,0.0,1
cea-09,joint,removal,1,16,14,1,1,0.8740919569511182,0.1259080430488818,0.1259080430488818,1
cea-09,joint,removal,1,12,12,1,1,1.0,0.0,0.0,1
cea-09,joint,removal,1,8,8,1,1,1.0,0.0,0.0,1
cea-09,joint,removal,1,14,14,1,1,1.0,0.0,0.0,1
cea-09,joint,removal,1,16,16,1,1,1.0,0.0,0.0,1
cea-09,joint,removal,1,8,8,1,1,1.0,0.0,0.0,1
cea-09,joint,swap,0,14,12,1,1,0.8569655873809249,0.14303441261907512,0.14303441261907512,1
cea-09,joint,swap,0,14,13,2,2,0.8631466444428468,0.13685335555715317,0.07196068706724745,1
cea-09,joint,swap,0,8,8,1,1,1.0,0.0,0.0,1
cea-09,joint,swap,0,12,12,1,1,1.0,0.0,0.0,1
cea-09,joint,swap,0,16,14,1,1,0.8740919569511182,0.1259080430488818,0.1259080430488818,1
cea-09,joint,swap,0,12,12,1,1,1.0,0.0,0.0,1
cea-09,joint,swap,0,6,6,1,1,1.0,0.0,0.0,1
cea-09,joint,swap,0,14,14,1,1,1.0,0.0,0.0,1
cea-09,joint,swap,0,14,14,1,1,1.0,0.0,0.0,1
cea-09,joint,swap,0,16,16,1,1,1.0,0.0,0.0,1
cea-09,joint,swap,0,8,8,1,1,1.0,0.0,0.0,1
cea-09,joint,swap,1,14,12,1,1,0.8569655873809249,0.14303441261907512,0.14303441261907512,1
cea-09,joint,swap,1,14,13,2,2,0.8631466444428468,0.13685335555715317,0.07196068706724745,1
cea-09,joint,swap,1,6,6,1,1,1.0,0.0,0.0,1
cea-09,joint,swap,1,14,14,1,1,1.0,0.0,0.0,1
cea-09,joint,swap,1,16,14,1,1,0.8740919569511182,0.1259080430488818,0.1259080430488818,1
cea-09,joint,swap,1,12,12,1,1,1.0,0.0,0.0,1
cea-09,joint,swap,1,8,8,1,1,1.0,0.0,0.0,1
cea-09,joint,swap,1,12,12,1,1,1.0,0.0,0.0,1
cea-09,joint,swap,1,14,14,1,1,1.0,0.0,0.0,1
cea-09,joint,swap,1,16,16,1,1,1.0,0.0,0.0,1
cea-09,joint,swap,1,8,8,1,1,1.0,0.0,0.0,1
cea-09,joint,shuffle,0,14,12,1,1,0.8569655873809249,0.14303441261907512,0.14303441261907512,1
