model,group,cell,condition,accuracy,paired_success,log_loss,brier,entropy,unknown_mass,confidence
repaired/present,cea-14,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
repaired/recency,cea-14,joint,shuffle,1.0,1.0,0.05024121643674679,0.0024500000000000632,0.38625940550147086,0.001,0.951
repaired/reference,cea-14,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/transition1,cea-14,joint,shuffle,0.0,0.0,0.6964739116180534,0.5023644710547917,0.7038254590772062,1.9999999999999998e-05,0.5007005836880097
repaired/transition2,cea-14,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/transition3,cea-14,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
streaming/absolute,cea-14,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/present,cea-14,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/recency,cea-14,joint,shuffle,1.0,1.0,0.05024121643674679,0.0024500000000000632,0.38625940550147086,0.001,0.951
streaming/reference,cea-14,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition1,cea-14,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition2,cea-14,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition3,cea-14,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/absolute,cea-14,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/present,cea-14,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/recency,cea-14,joint,shuffle,0.0,0.0,6.907755278982137,1.2819812499999999,1.5615080942797084,0.001,0.35724999999999996
fixed/reference,cea-14,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition1,cea-14,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition2,cea-14,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition3,cea-14,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/absolute,cea-14,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
oracle-boundary/present,cea-14,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/recency,cea-14,joint,shuffle,1.0,1.0,0.05024121643674679,0.0024500000000000632,0.38625940550147086,0.001,0.951
oracle-boundary/reference,cea-14,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
oracle-boundary/transition1,cea-14,joint,shuffle,0.5,0.0,0.69410764165507,0.50000048,0.7038282854721148,1.9999999999999998e-05,0.4995199999999999
oracle-boundary/transition2,cea-14,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
oracle-boundary/transition3,cea-14,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/absolute,cea-14,joint,ambiguous,0.5,0.0,0.6946804696423211,0.5005718813082742,0.7032562258942611,1.9999999999999998e-05,0.5164226818622704
map/present,cea-14,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
map/recency,cea-14,joint,ambiguous,0.5,0.0,3.4789982477094417,0.95245,0.38625940550147086,0.001,0.951
map/reference,cea-14,joint,ambiguous,0.5,0.0,0.6943634828621061,0.5002557649097328,0.7035727334627673,2e-05,0.5108178960371563
map/transition1,cea-14,joint,ambiguous,0.5,0.0,0.703036284945884,0.5088328923576289,0.6949611205839344,2e-05,0.5659745421985164
map/transition2,cea-14,joint,ambiguous,0.5,0.0,0.6946804696423211,0.5005718813082742,0.7032562258942611,1.9999999999999998e-05,0.5164226818622704
map/transition3,cea-14,joint,ambiguous,0.5,0.0,0.6946804696423211,0.5005718813082742,0.7032562258942611,1.9999999999999998e-05,0.5164226818622704
mixture/absolute,cea-14,joint,ambiguous,0.5,0.0,0.9623901567133818,0.5832604617869941,1.0830138796671906,0.23488542663941062,0.39513042251523267
mixture/present,cea-14,joint,ambiguous,0.0,0.0,11.087487971481345,1.2377431712881135,1.512991467196385,0.23488542663941062,0.28665208237832557
mixture/recency,cea-14,joint,ambiguous,0.5,0.0,3.7467079347805026,0.8566062355139088,0.835484866557777,0.23563525391784956,0.7276385120361611
mixture/reference,cea-14,joint,ambiguous,0.5,0.0,0.9620731699331669,0.5830753997467677,1.0832560490638217,0.23488542663941062,0.3908420334320914
mixture/transition1,cea-14,joint,ambiguous,0.5,0.0,0.9707459720169447,0.5880966536649865,1.076667046770041,0.23488542663941062,0.4330440312677981
mixture/transition2,cea-14,joint,ambiguous,0.5,0.0,0.9623901567133818,0.5832604617869941,1.0830138796671906,0.23488542663941062,0.39513042251523267
mixture/transition3,cea-14,joint,ambiguous,0.5,0.0,0.9623901567133818,0.5832604617869941,1.0830138796671906,0.23488542663941062,0.39513042251523267
repaired/absolute,cea-14,joint,ambiguous,0.5,0.0,0.7284286759026855,0.5331064214962526,0.670314060258765,1.9999999999999998e-05,0.6281783489250751
repaired/present,cea-14,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
repaired/recency,cea-14,joint,ambiguous,0.5,0.0,3.4789982477094417,0.95245,0.38625940550147086,0.001,0.951
repaired/reference,cea-14,joint,ambiguous,0.5,0.0,0.7087314986491764,0.5143848916977267,0.6893600719797746,1.9999999999999998e-05,0.5843268738302702
repaired/transition1,cea-14,joint,ambiguous,0.5,0.0,0.694111431635297,0.5000042626926213,0.7038244991398357,1.9999999999999998e-05,0.5008952622697879
repaired/transition2,cea-14,joint,ambiguous,0.5,0.0,0.729942608295858,0.5345150745383171,0.668870849920542,1.9999999999999998e-05,0.6308870326572028
repaired/transition3,cea-14,joint,ambiguous,0.5,0.0,0.7284286759026855,0.5331064214962526,0.670314060258765,1.9999999999999998e-05,0.6281783489250751
streaming/absolute,cea-14,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/present,cea-14,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/recency,cea-14,joint,ambiguous,0.5,0.0,3.4789982477094417,0.95245,0.38625940550147086,0.001,0.951
streaming/reference,cea-14,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition1,cea-14,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition2,cea-14,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition3,cea-14,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/absolute,cea-14,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/present,cea-14,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/recency,cea-14,joint,ambiguous,0.0,0.0,6.907755278982137,1.2819812499999999,1.5615080942797084,0.001,0.35724999999999996
fixed/reference,cea-14,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition1,cea-14,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
