model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,paired_success,paired_success_lower95,paired_success_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95,entropy,entropy_lower95,entropy_upper95,unknown_mass,unknown_mass_lower95,unknown_mass_upper95,confidence,confidence_lower95,confidence_upper95
fixed/transition1,joint,shuffle,0.25,0.0625,0.4375,0.0,0.0,0.0,4.808340277513686,2.2115266075952773,8.360277805320282,0.9917972534375,0.6562815424999999,1.3506411753125,1.1085180099410779,0.7951079792041355,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.45269187499999997,0.37464499999999995,0.6087856249999999
fixed/transition1,joint,swap,0.25,0.0625,0.4375,0.0,0.0,0.0,4.808340277513686,2.2115266075952773,8.360277805320282,0.9917972534375,0.6562815424999999,1.3506411753125,1.1085180099410779,0.7951079792041355,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.45269187499999997,0.37464499999999995,0.6087856249999999
fixed/transition1,legato,intact,0.125,0.0,0.3125,0.0,0.0,0.0,8.360277805320282,4.671027086685279,10.819778284410283,1.519602887939151,1.074897987068195,1.8784468098141511,0.49269844452235734,0.17393532789208627,0.8547266584647089,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.7311711949433084,0.544737477983746,0.8999191536261609
fixed/transition2,detached,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition2,duration,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition2,joint,ambiguous,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition2,joint,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition2,joint,removal,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition2,joint,reset,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition2,joint,shuffle,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition2,joint,swap,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition2,legato,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition3,detached,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition3,duration,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition3,joint,ambiguous,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition3,joint,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition3,joint,removal,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition3,joint,reset,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition3,joint,shuffle,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition3,joint,swap,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition3,legato,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
map/absolute,detached,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.06228022348498122,0.0009804805139615315,0.1848797094270206,0.03516499953125003,9.800000000392828e-07,0.10549303859375002,0.08993541004601548,0.011582902361779928,0.24664042541448658,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.9599965625,0.8819496874999999,0.9990199999999999
map/absolute,duration,intact,0.9375,0.8125,1.0,0.875,0.625,1.0,0.12357996645600092,0.0009804805139615315,0.30747919536906,0.07032901906250003,9.800000000392828e-07,0.17582107765625,0.16828791773025104,0.011582902361779928,0.40334544078295764,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.920973125,0.8039028125,0.9990199999999999
map/absolute,joint,ambiguous,0.5,0.5,0.5,0.0,0.0,0.0,1.875261896835411,0.6946677927894245,3.641855114583772,0.6268057277134982,0.5005590061181053,0.811953237369412,0.5287008398643726,0.27109738804211897,0.7032590398542811,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.6420056683246904,0.5142821506279378,0.8146877816200264
map/absolute,joint,intact,0.9375,0.8125,1.0,0.875,0.625,1.0,0.12357996645600092,0.0009804805139615315,0.30747919536906,0.07032901906250003,9.800000000392828e-07,0.17582107765625,0.16828791773025104,0.011582902361779928,0.40334544078295764,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.920973125,0.8039028125,0.9990199999999999
