front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
fixed,cea-15,detached,intact,1,11,18,9,3,0.16666666666666666,0.2727272727272727,0.20689655172413793,10,4,0.9090909090909091,0.36363636363636365,0.8181818181818182,0.8181818181818182,0.014153114874463234,0.0,0.015916666666666666,0.0180625,0.0040625,0.0
oracle-boundary,cea-15,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.003261397497314598,0.0,0.0,0.0,0.063875,0.063875
map,cea-15,legato,intact,0,11,10,10,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.9090909090909091,0.9090909090909091,0.00274256115555751,0.0,0.01536875,0.010225000000000001,0.1119375,0.096
mixture,cea-15,legato,intact,0,11,10,10,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.9090909090909091,0.9090909090909091,0.00274256115555751,0.0,0.01536875,0.010225000000000001,0.1119375,0.096
repaired,cea-15,legato,intact,0,11,10,10,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.8181818181818182,0.9090909090909091,0.037557071979121656,0.0,0.01536875,0.010225000000000001,0.1119375,0.096
streaming,cea-15,legato,intact,0,11,10,10,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.6363636363636364,0.9090909090909091,5.087792958571891,0.09090909090909091,0.01536875,0.010225000000000001,0.1119375,0.096
fixed,cea-15,legato,intact,0,11,18,9,3,0.16666666666666666,0.2727272727272727,0.20689655172413793,10,4,0.9090909090909091,0.36363636363636365,0.8181818181818182,0.8181818181818182,0.041530330577581744,0.0,0.015916666666666666,0.0180625,0.0040625,0.0
oracle-boundary,cea-15,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0013588168319574575,0.0,0.0,0.0,0.063875,0.063875
map,cea-15,legato,intact,1,11,10,9,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.0015967721680247848,0.0,0.00776388888888889,0.01011111111111111,0.1119375,0.1
mixture,cea-15,legato,intact,1,11,10,9,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.0015967721680247848,0.0,0.00776388888888889,0.01011111111111111,0.1119375,0.1
