model,cell,condition,bin,count,mean_confidence,accuracy
map/transition3,joint,swap,9,14,0.9990199999999999,1.0
map/transition3,legato,intact,3,2,0.37464499999999995,0.5
map/transition3,legato,intact,9,14,0.9990199999999999,1.0
mixture/absolute,detached,intact,8,1,0.8296023063574745,1.0
mixture/absolute,detached,intact,9,15,0.9828074361456092,0.8666666666666667
mixture/absolute,duration,intact,5,2,0.5201815220701016,1.0
mixture/absolute,duration,intact,6,3,0.6708454158025142,1.0
mixture/absolute,duration,intact,7,4,0.7222784318045933,0.5
mixture/absolute,duration,intact,8,3,0.8534540354834227,1.0
mixture/absolute,duration,intact,9,4,0.9680363933708713,0.5
mixture/absolute,joint,ambiguous,3,4,0.396045528354242,0.5
mixture/absolute,joint,ambiguous,4,8,0.466164691762766,0.25
mixture/absolute,joint,ambiguous,6,2,0.6522299452652967,0.0
mixture/absolute,joint,ambiguous,9,2,1.0,0.0
mixture/absolute,joint,intact,5,4,0.5278916258654562,1.0
mixture/absolute,joint,intact,6,6,0.6774504749377385,0.6666666666666666
mixture/absolute,joint,intact,8,4,0.8217436144489444,1.0
mixture/absolute,joint,intact,9,2,1.0,0.0
mixture/absolute,joint,removal,2,2,0.29790529824594125,0.5
mixture/absolute,joint,removal,3,14,0.3229999799705473,0.21428571428571427
mixture/absolute,joint,reset,3,16,0.36873745992068324,0.3125
mixture/absolute,joint,shuffle,5,3,0.5587118899003457,0.3333333333333333
mixture/absolute,joint,shuffle,6,5,0.644064332021409,0.6
mixture/absolute,joint,shuffle,7,2,0.794324642369655,1.0
mixture/absolute,joint,shuffle,8,4,0.849376247055049,1.0
mixture/absolute,joint,shuffle,9,2,1.0,0.0
mixture/absolute,joint,swap,5,4,0.5278916258654562,1.0
mixture/absolute,joint,swap,6,6,0.6774504749377385,0.6666666666666666
mixture/absolute,joint,swap,8,4,0.8217436144489445,1.0
mixture/absolute,joint,swap,9,2,1.0,0.0
mixture/absolute,legato,intact,6,2,0.6498514578154555,1.0
mixture/absolute,legato,intact,8,8,0.8456449735615583,0.75
mixture/absolute,legato,intact,9,6,0.9572287404921482,0.6666666666666666
mixture/present,detached,intact,3,14,0.36354017900305674,0.2857142857142857
mixture/present,detached,intact,9,2,1.0,0.0
mixture/present,duration,intact,2,2,0.27295018814470084,0.0
mixture/present,duration,intact,3,8,0.32440495831455174,0.125
mixture/present,duration,intact,4,2,0.4622325139947667,0.0
mixture/present,duration,intact,7,2,0.7167139804522806,0.0
mixture/present,duration,intact,9,2,1.0,0.0
mixture/present,joint,ambiguous,2,6,0.2813736232224258,0.16666666666666666
mixture/present,joint,ambiguous,3,2,0.33651204214139735,0.0
mixture/present,joint,ambiguous,4,4,0.46827453380347867,0.0
mixture/present,joint,ambiguous,6,2,0.6522299452652967,0.0
mixture/present,joint,ambiguous,9,2,1.0,0.0
mixture/present,joint,intact,3,9,0.31999643529698907,0.0
mixture/present,joint,intact,4,3,0.46906545436686686,0.0
mixture/present,joint,intact,6,2,0.6772790572530145,0.0
mixture/present,joint,intact,9,2,1.0,0.0
mixture/present,joint,removal,2,2,0.29790529824594125,0.5
mixture/present,joint,removal,3,14,0.3229999799705473,0.21428571428571427
mixture/present,joint,reset,3,16,0.36873745992068324,0.3125
mixture/present,joint,shuffle,2,2,0.2978816796866724,0.0
mixture/present,joint,shuffle,3,7,0.3234433023312654,0.0
mixture/present,joint,shuffle,4,1,0.44239219292599563,0.0
mixture/present,joint,shuffle,5,2,0.5595315884140539,0.0
mixture/present,joint,shuffle,6,2,0.6251673854234714,0.0
mixture/present,joint,shuffle,9,2,1.0,0.0
mixture/present,joint,swap,3,9,0.31999643529698907,0.0
mixture/present,joint,swap,4,3,0.46906545436686686,0.0
mixture/present,joint,swap,6,2,0.6772790572530145,0.0
mixture/present,joint,swap,9,2,1.0,0.0
mixture/present,legato,intact,2,2,0.29182032978365835,0.0
mixture/present,legato,intact,3,10,0.33597189250976756,0.2
mixture/present,legato,intact,8,2,0.835086537934733,0.0
mixture/present,legato,intact,9,2,1.0,0.0
mixture/recency,detached,intact,7,1,0.7897257245560233,0.0
mixture/recency,detached,intact,8,3,0.8732117063445899,0.6666666666666666
mixture/recency,detached,intact,9,12,0.9591666666666668,0.3333333333333333
mixture/recency,duration,intact,4,1,0.49366941050874236,0.0
mixture/recency,duration,intact,5,2,0.5660527085230591,0.5
mixture/recency,duration,intact,6,4,0.6769789740464286,0.5
mixture/recency,duration,intact,7,2,0.7169916063039545,0.0
mixture/recency,duration,intact,8,5,0.8499595001775407,0.6
mixture/recency,duration,intact,9,2,1.0,0.0
mixture/recency,joint,ambiguous,4,2,0.4936618215389603,0.0
mixture/recency,joint,ambiguous,5,2,0.5293524466132801,0.5
mixture/recency,joint,ambiguous,6,4,0.6434824378552269,0.25
mixture/recency,joint,ambiguous,7,4,0.7200004848556769,0.5
mixture/recency,joint,ambiguous,8,2,0.8542031845519595,0.5
mixture/recency,joint,ambiguous,9,2,1.0,0.0
mixture/recency,joint,intact,4,2,0.4928008747324484,0.0
mixture/recency,joint,intact,5,3,0.5683844092609923,0.3333333333333333
mixture/recency,joint,intact,6,5,0.6741251263170974,0.6
mixture/recency,joint,intact,7,2,0.779506535426272,0.0
mixture/recency,joint,intact,8,2,0.819959902600321,1.0
mixture/recency,joint,intact,9,2,1.0,0.0
mixture/recency,joint,removal,2,4,0.28845030751390865,0.25
mixture/recency,joint,removal,3,12,0.31550940839891845,0.25
mixture/recency,joint,reset,3,16,0.35161675067507664,0.3125
mixture/recency,joint,shuffle,3,1,0.38801512515263403,0.0
mixture/recency,joint,shuffle,4,1,0.4035016698335374,0.0
mixture/recency,joint,shuffle,5,3,0.5500740475405034,0.3333333333333333
mixture/recency,joint,shuffle,6,4,0.6309874833182105,0.25
mixture/recency,joint,shuffle,7,2,0.7561437557742007,0.0
mixture/recency,joint,shuffle,8,3,0.832666620648664,0.6666666666666666
mixture/recency,joint,shuffle,9,2,1.0,0.0
mixture/recency,joint,swap,4,2,0.4928008747324484,0.0
mixture/recency,joint,swap,5,3,0.5683844092609923,0.3333333333333333
mixture/recency,joint,swap,6,5,0.6741251263170974,0.6
mixture/recency,joint,swap,7,2,0.779506535426272,0.0
mixture/recency,joint,swap,8,2,0.819959902600321,1.0
mixture/recency,joint,swap,9,2,1.0,0.0
mixture/recency,legato,intact,6,2,0.6734923362224655,0.0
mixture/recency,legato,intact,8,11,0.8407106348790354,0.45454545454545453
mixture/recency,legato,intact,9,3,0.9836666666666667,0.3333333333333333
mixture/reference,detached,intact,8,1,0.8296023063574745,1.0
