stratum,group_id,length,family,query_n,group_n,max_pair_n,available_pair_n,queries_all_max_pairs_available,queries_with_tied_exact_absent_maxima,queries_any_alternate_reference_max,pairs_all_12_equal,queries_any_all_12_equal,queries_all_all_12_equal,pairs_only_cost_timing_differ,queries_any_only_cost_timing_differ,queries_all_only_cost_timing_differ,pairs_other_differences,queries_any_other_differences,queries_all_other_differences,pairs_unavailable,queries_any_unavailable,queries_all_unavailable,outcome_true_singleton,outcome_wrong_singleton,outcome_multiple_candidates,outcome_none,queries_any_ten_equal,queries_all_ten_equal,absent_false_accept_queries,true_vs_absent_max_score_near_queries,queries_with_extra_score_near_maxima,true_margin_min,true_margin_median,true_margin_max,absent_margin_min,absent_margin_median,absent_margin_max,true_minus_absent_max_min,true_minus_absent_max_median,true_minus_absent_max_max
length+family,,4,delete_timing,8,4,8,8,8,0,2,0,0,0,6,6,6,2,2,2,0,0,0,0,0,0,8,6,6,0,0,1,-0.12601892837332151,-0.1260187402246089,-0.12601845743561135,-4.947142194476136,-0.12643918054893,-0.12629870480340166,0.0002799645787927574,0.0004202992127915195,4.821123737040525
length+family,,4,delete_transpose,8,4,8,8,8,0,2,0,0,0,6,6,6,2,2,2,0,0,0,0,0,0,8,6,6,0,0,1,-0.1259876330312455,-0.1259876330312455,-0.1259876330312455,-4.947047952681915,-0.12635741839770542,-0.12622871363131338,0.0002410806000678889,0.0003697853664599293,4.82106031965067
length+family,,4,delete_two,8,4,31,31,8,7,6,30,7,7,0,0,0,1,1,1,0,0,0,0,0,0,8,7,7,0,7,0,-2.5971884056580468,-2.5971884056580468,-2.5971884056580468,-2.5971884056580468,-2.5971884056580468,-0.4948968024391398,-2.102291603218907,0.0,0.0
length+family,,4,detune,8,4,8,8,8,0,2,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,8,0,0,0,0,2,-1.2328853156160537,-1.232885199641924,-1.232885070298126,-8.712273583901114,-4.370525755834491,-3.891833995821247,2.658948925523121,3.1376405628774013,7.479388488107336
length+family,,4,exact,8,4,8,8,8,0,2,0,0,0,0,0,0,8,8,8,0,0,0,8,0,0,0,0,0,0,0,1,2.382312863856603,2.382312863856603,2.382312863856603,-3.8920750763981395,-3.89191159127386,-3.891833995821247,6.27414685967785,6.274224455130463,6.2743879402547424
length+family,,4,insert,8,4,9,9,8,1,1,0,0,0,0,0,0,9,8,8,0,0,0,0,0,0,8,0,0,0,0,0,-0.6363747907869932,-0.6363747907869932,-0.6363747907869932,-6.2278348136144785,-6.227696119730313,-4.251815698306336,3.6154409075193428,5.5913213289433195,5.591460022827485
length+family,,4,legitimate_rest,8,4,8,8,8,0,3,0,0,0,0,0,0,8,8,8,0,0,0,8,0,0,0,0,0,0,0,2,2.38218355056674,2.38218362510559,2.382184518224884,-3.8921995050995912,-3.8919067568376495,-3.891906579072457,6.274090129639197,6.274090344673814,6.274383130205181
length+family,,4,mask_absent,8,4,8,8,8,0,2,0,0,0,6,6,6,2,2,2,0,0,0,0,0,0,8,6,6,0,0,1,-0.7514094438985524,-0.7514094438985524,-0.7514094438985524,-5.572470683777849,-0.7517792293171608,-0.7516505244986202,0.0002410806000678889,0.00036978541860843706,4.821061239879296
length+family,,4,mask_present,8,4,8,8,8,0,2,0,0,0,6,6,6,2,2,2,0,0,0,0,0,0,8,6,6,0,0,1,-0.7514094438985524,-0.7514094438985524,-0.7514094438985524,-5.572470683777849,-0.7517792293171608,-0.7516505244986202,0.0002410806000678889,0.00036978541860843706,4.821061239879296
length+family,,4,merged,8,4,36,36,8,8,8,36,8,8,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,8,0,-3.431084153481123,-3.431084153481123,-3.431084153481123,-3.431084153481123,-3.431084153481123,-3.431084153481123,0.0,0.0,0.0
length+family,,4,substitute,8,4,8,8,8,0,3,0,0,0,6,6,6,2,2,2,0,0,0,0,0,0,8,6,6,0,0,0,-3.891833995821247,-3.891833995821247,-3.891833995821247,-8.712394152404347,-3.8920754641566924,-3.891989531696632,0.00015553587538530422,0.00024146833544547164,4.820560156583099
