front,group,precision,recall,f1,split_rate,merge_rate,pitch_accuracy,pitch_availability,octave_error_rate,mean_pitch_error_available,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
fixed,civ-17,0.17686942686942686,0.20426487093153758,0.18948470209339774,0.16835016835016836,0.06790123456790123,0.6206509539842872,0.6206509539842872,0.0,0.0045354835296615,0.02109259259259259,0.019880092592592595,0.0143125,0.0
fixed,civ-18,0.19545454545454544,0.20426487093153758,0.19966252918197996,0.1335578002244669,0.0,0.6206509539842872,0.6835016835016836,0.0,0.6445189315004343,0.02204475308641975,0.01953284832451499,0.01375,0.0
fixed,civ-19,0.12541156813602633,0.20426487093153758,0.1553469297097483,0.8967452300785634,0.3468013468013468,0.6206509539842872,0.6913580246913581,0.010101010101010102,2.5438462417938954,0.02093979276895944,0.02022124118165785,0.0131875,0.0
fixed,civ-20,0.22217597217597218,0.244668911335578,0.23249231444883614,0.24186307519640848,0.020202020202020204,0.6206509539842872,0.6835016835016836,0.0,0.04914526861312469,0.02044753086419753,0.020642636684303352,0.012625,0.0
fixed,civ-21,0.19163614163614165,0.244668911335578,0.2147300944669366,0.27665544332210995,0.0303030303030303,0.6105499438832772,0.6560044893378227,0.025252525252525256,1.0703078284483671,0.019003000992063493,0.021035714285714283,0.0120625,0.0
fixed,civ-22,0.15029507529507527,0.1941638608305275,0.1693221182110071,0.3591470258136924,0.06285072951739618,0.5701459034792368,0.6430976430976432,0.010101010101010102,0.6044184438139117,0.019035714285714284,0.020781084656084657,0.0115,0.0
fixed,civ-23,0.09910584604212055,0.1515151515151515,0.11980275294451542,0.7003367003367003,0.22334455667789,0.5600448933782266,0.7732884399551065,0.057800224466891134,2.687136648737682,0.022416005291005292,0.0187912533068783,0.0109375,0.0
fixed,civ-24,0.19456654456654454,0.2514029180695847,0.21875864875864878,0.531425364758698,0.19304152637485966,0.6498316498316499,0.6498316498316499,0.0,0.036431066213389325,0.019265476190476187,0.020200264550264548,0.0119375,0.0
fixed,civ-25,0.18599386724386724,0.2514029180695847,0.21371500927056483,0.4124579124579124,0.07295173961840629,0.6498316498316499,0.7306397306397306,0.0,0.5524455059236484,0.020136381172839505,0.019612943672839507,0.0098125,0.0
fixed,civ-26,0.16895684199605768,0.2514029180695847,0.20188805000565782,0.7401795735129068,0.24579124579124578,0.6823793490460157,0.770482603815937,0.0,2.1220960495628014,0.020444747574955905,0.01990415564373898,0.013125,0.0
fixed,civ-27,0.10107212475633527,0.18069584736251404,0.1295300677021107,0.9068462401795736,0.24579124579124578,0.6571268237934905,0.8563411896745229,0.010101010101010102,4.7379809545491,0.02091170634920635,0.01940637400793651,0.0118125,0.0
fixed,civ-28,0.13459712945007063,0.18069584736251404,0.15406050739384072,0.520763187429854,0.1133557800224467,0.717732884399551,0.8310886644219977,0.0,1.3676881807360919,0.018972395833333336,0.020278124999999998,0.0105,0.0
fixed,civ-29,0.09905257424607268,0.1604938271604938,0.12196773001370705,0.7210998877665544,0.16610549943883277,0.7351290684624018,0.8310886644219977,0.07575757575757576,1.3110532865282147,0.018741123787477956,0.021013085593033512,0.01025,0.0
fixed,civ-30,0.10630122419338105,0.1604938271604938,0.1276186157362236,0.5909090909090908,0.14590347923681254,0.712682379349046,0.8361391694725027,0.005050505050505051,2.387414843948945,0.01869951774691358,0.021908603395061725,0.0108125,0.0
fixed,civ-31,0.07663255360623783,0.14029180695847362,0.09905217045001989,0.9001122334455667,0.18630751964085293,0.7379349046015712,0.9797979797979798,0.0,3.429186860489545,0.020760157126823792,0.020667480359147027,0.010625,0.0
fixed,civ-32,0.07606564068122375,0.1200897867564534,0.09306510765781129,0.6632996632996632,0.07295173961840629,0.824354657687991,0.8395061728395061,0.005050505050505051,0.11838395956006346,0.020998070987654324,0.01797689043209877,0.0104375,0.0
fixed,civ-33,0.0698424301494477,0.1200897867564534,0.08802054338452805,0.7328843995510663,0.06285072951739618,0.6885521885521886,0.8597081930415263,0.03535353535353536,0.8003847746406513,0.020111111111111118,0.018025270061728396,0.0079375,0.0
fixed,civ-34,0.05549057829759584,0.09988776655443321,0.07124308216262237,0.7732884399551067,0.0830527497194164,0.8698092031425363,0.8698092031425363,0.0,0.05875756842206389,0.01933472222222222,0.01843344907407407,0.0100625,0.0
fixed,civ-35,0.03530701754385965,0.06285072951739618,0.04520908004778972,0.9595959595959594,0.16610549943883277,0.8967452300785634,1.0,0.0,2.1377129860519646,0.02252749719416386,0.017245510662177325,0.0108125,0.0
fixed,civ-36,0.09684614586575371,0.16273849607182939,0.12119072738762893,0.5768799102132436,0.0,0.9270482603815938,0.9696969696969696,0.0,0.04457296117823158,0.020862345679012344,0.017771647025813693,0.009875,0.0
fixed,civ-37,0.09246263807667317,0.16273849607182939,0.11779480630055342,0.7530864197530865,0.07295173961840629,0.9068462401795734,0.9797979797979798,0.06285072951739618,0.794847717784097,0.020249031986531982,0.018167297979797978,0.0089375,0.0
fixed,civ-38,0.11000881834215168,0.18294051627384958,0.13710428736249158,0.6273849607182941,0.0,0.9169472502805837,1.0,0.0,1.9104275321089892,0.020207702020202025,0.018854797979797982,0.0093125,0.0
fixed,civ-39,0.10328135152696556,0.18294051627384958,0.131892775237232,0.7744107744107743,0.1234567901234568,0.9393939393939394,1.0,0.0303030303030303,0.9615534867390273,0.01977483164983165,0.019742424242424245,0.009125,0.0
oracle-boundary,civ-16,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0010169725794124387,0.0,0.0,0.062375,0.062375
oracle-boundary,civ-17,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0007121412123542669,0.0,0.0,0.060875,0.060875
oracle-boundary,civ-18,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0009199858340048207,0.0,0.0,0.0624375,0.0624375
oracle-boundary,civ-19,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0038550490981537084,0.0,0.0,0.0605625,0.0605625
oracle-boundary,civ-20,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.000928200523077768,0.0,0.0,0.0586875,0.0586875
oracle-boundary,civ-21,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0015406345789232478,0.0,0.0,0.0568125,0.0568125
oracle-boundary,civ-22,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0015508298660488692,0.0,0.0,0.0549375,0.0549375
oracle-boundary,civ-23,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.003283473113750255,0.0,0.0,0.063625,0.063625
oracle-boundary,civ-24,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0022549781045582296,0.0,0.0,0.0615625,0.0615625
oracle-boundary,civ-25,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.000662216451011389,0.0,0.0,0.0595,0.0595
oracle-boundary,civ-26,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0007895215978671264,0.0,0.0,0.0574375,0.0574375
oracle-boundary,civ-27,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0038896516899344213,0.0,0.0,0.055375,0.055375
oracle-boundary,civ-28,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0010151133002518295,0.0,0.0,0.0533125,0.0533125
oracle-boundary,civ-29,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0011184993786351183,0.0,0.0,0.06275,0.06275
oracle-boundary,civ-30,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0010739646110452434,0.0,0.0,0.0610625,0.0610625
oracle-boundary,civ-31,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0030163431654048867,0.0,0.0,0.059375,0.059375
oracle-boundary,civ-32,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.001161021762940262,0.0,0.0,0.0576875,0.0576875
oracle-boundary,civ-33,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0008741570652961105,0.0,0.0,0.056,0.056
oracle-boundary,civ-34,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0011066806397192108,0.0,0.0,0.0639375,0.0639375
oracle-boundary,civ-35,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0031702733260446695,0.0,0.0,0.061875,0.061875
oracle-boundary,civ-36,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0012267680947614934,0.0,0.0,0.0598125,0.0598125
oracle-boundary,civ-37,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0014950487975644048,0.0,0.0,0.06375,0.06375
oracle-boundary,civ-38,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0012631491536503907,0.0,0.0,0.0626875,0.0626875
oracle-boundary,civ-39,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.003958459694970541,0.0,0.0,0.0636875,0.0636875
