model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,paired_success,paired_success_lower95,paired_success_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95
old_present,joint,intact,0.125,0.0,0.3125,0.0,0.0,0.0,6.175403707887094,2.7607793709089035,9.590028044865281,1.0621252925,0.8435940424999999,1.2494377925
old_present,joint,removal,0.125,0.0,0.3125,0.0,0.0,0.0,6.175403707887094,2.7607793709089035,9.590028044865281,1.0621252925,0.8435940424999999,1.2494377925
old_present,joint,reset,0.125,0.0,0.3125,0.0,0.0,0.0,6.175403707887094,2.7607793709089035,9.590028044865281,1.0621252925,0.8435940424999999,1.2494377925
old_present,joint,shuffle,0.125,0.0,0.3125,0.0,0.0,0.0,6.175403707887094,2.7607793709089035,9.590028044865281,1.0621252925,0.8435940424999999,1.2494377925
old_present,joint,swap,0.125,0.0,0.3125,0.0,0.0,0.0,6.175403707887094,2.7607793709089035,9.590028044865281,1.0621252925,0.8435940424999999,1.2494377925
old_present,matched,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,4.945653468342092,1.6683423221923093,8.497590996148688,0.9684690425,0.7187190425,1.1870002925
old_present,timbre,intact,0.125,0.0,0.3125,0.0,0.0,0.0,6.175403707887094,2.7607793709089035,9.590028044865281,1.0621252925,0.8435940424999999,1.2494377925
old_recency,duration,intact,0.5,0.125,0.875,0.5,0.125,0.875,3.4789982477094417,0.9074304742549205,6.050566021163963,0.95245,0.23995000000000005,1.66495
old_recency,joint,ambiguous,0.25,0.0625,0.4375,0.0,0.0,0.0,4.595200983809411,3.30941709708215,5.880984870536672,1.087528125,0.99364140625,1.1995984375
old_recency,joint,intact,0.25,0.0,0.625,0.25,0.0,0.625,4.595200983809411,2.2826466886366856,6.309579499445759,1.087528125,0.5828406249999999,1.5625281249999998
old_recency,joint,removal,0.125,0.0,0.3125,0.0,0.0,0.0,4.241794765706887,2.310638729532884,6.17295080188089,1.0444812499999998,0.8366687499999999,1.2226062499999997
old_recency,joint,reset,0.125,0.0,0.3125,0.0,0.0,0.0,4.241794765706887,2.310638729532884,6.17295080188089,1.0444812499999998,0.8366687499999999,1.2226062499999997
old_recency,joint,shuffle,0.25,0.0,0.625,0.25,0.0,0.625,4.595200983809411,2.2826466886366856,6.309579499445759,1.087528125,0.5598328125,1.51465703125
old_recency,joint,swap,0.25,0.0,0.625,0.25,0.0,0.625,4.595200983809411,2.2826466886366856,6.309579499445759,1.087528125,0.5828406249999999,1.5625281249999998
old_recency,matched,intact,0.5,0.125,0.875,0.5,0.125,0.875,3.4789982477094417,0.9074304742549205,6.050566021163963,0.95245,0.23995000000000005,1.66495
old_recency,timbre,intact,0.25,0.0,0.625,0.25,0.0,0.625,4.595200983809411,2.2826466886366856,6.309579499445759,1.087528125,0.5828406249999999,1.5625281249999998
old_reference,duration,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
old_reference,joint,ambiguous,0.375,0.1875,0.5,0.0,0.0,0.0,3.2255253023438732,0.6941076416550699,7.0226517933770785,0.7497504799999999,0.50000048,1.1243754799999999
old_reference,joint,intact,0.75,0.375,1.0,0.75,0.375,1.0,2.7056799314880418,0.0009804805139615315,6.762729107949163,0.49950098,9.800000000392828e-07,1.2487509799999998
old_reference,joint,removal,0.125,0.0,0.3125,0.0,0.0,0.0,6.175403707887094,2.7607793709089035,9.590028044865281,1.0621252925,0.8435940424999999,1.2494377925
