model,group,cell,condition,variant,source_accuracy,false_match,rejection,pitch_accuracy,time_accuracy,timbre_accuracy,alignment_coverage,alignment_end_error,pitch_shift,time_ratio,spectral_residual,energy_residual
patch-multi/reference,sp-18,unchanged,reset,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-18,unchanged,reset,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-18,unchanged,reset,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-18,unchanged,removal,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0015,0.0,1.3333333333333333,0.12698566451870363,0.2526631520991706
patch-multi/reference,sp-18,unchanged,removal,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0015,0.0,1.3333333333333333,0.12698566451870363,0.2526631520991706
patch-multi/absolute,sp-18,unchanged,removal,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0015,0.0,1.3333333333333333,0.12698566451870363,0.2526631520991706
patch-multi/reference,sp-18,unchanged,removal,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0015,0.0,1.3333333333333333,0.12698566451870363,0.2526631520991706
patch-multi/absolute,sp-18,unchanged,swap,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.03213161410973205,0.23004798689476874
patch-multi/reference,sp-18,unchanged,swap,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.03213161410973205,0.23004798689476874
patch-multi/absolute,sp-18,unchanged,swap,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04430157334055626,0.23249728879108783
patch-multi/reference,sp-18,unchanged,swap,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04430157334055626,0.23249728879108783
patch-multi/absolute,sp-18,unchanged,shuffle,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.06776316963312445,0.2368529676547069
patch-multi/reference,sp-18,unchanged,shuffle,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.06776316963312445,0.2368529676547069
patch-multi/absolute,sp-18,unchanged,shuffle,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.053955437342787085,0.23591434636728387
patch-multi/reference,sp-18,unchanged,shuffle,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.053955437342787085,0.23591434636728387
patch-multi/absolute,sp-18,unchanged,ambiguous,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04430157334055626,0.23249728879108783
patch-multi/reference,sp-18,unchanged,ambiguous,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04430157334055626,0.23249728879108783
patch-multi/absolute,sp-18,unchanged,ambiguous,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04430157334055626,0.23249728879108783
patch-multi/reference,sp-18,unchanged,ambiguous,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04430157334055626,0.23249728879108783
patch-multi/absolute,sp-18,unchanged,unrelated,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,1.3333333333333333,0.20261189652744233,0.23913949759591427
patch-multi/reference,sp-18,unchanged,unrelated,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,4.0,1.3333333333333333,0.15134372618962463,0.24181535147572325
patch-multi/absolute,sp-18,unchanged,unrelated,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,1.3333333333333333,0.20286578337679756,0.23913949759591427
patch-multi/reference,sp-18,unchanged,unrelated,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,4.0,1.3333333333333333,0.1486830309912747,0.24204312747982992
patch-multi/absolute,sp-18,transpose,intact,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-18,transpose,intact,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,3.0,1.0,0.06596202082290835,0.23142485100216204
patch-multi/absolute,sp-18,transpose,intact,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-18,transpose,intact,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,3.0,1.0,0.0561295838809695,0.22897554910584292
patch-multi/absolute,sp-18,stretch,intact,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0465,0.0,1.3333333333333333,0.04081096954477069,0.19354959470058047
patch-multi/reference,sp-18,stretch,intact,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0465,0.0,1.3333333333333333,0.04081096954477069,0.19354959470058047
patch-multi/absolute,sp-18,stretch,intact,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0465,0.0,1.3333333333333333,0.037119885753432585,0.1906717141255599
patch-multi/reference,sp-18,stretch,intact,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0465,0.0,1.3333333333333333,0.037119885753432585,0.1906717141255599
patch-multi/absolute,sp-18,timbre,intact,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.15792884793938738,0.22381708012674545
patch-multi/reference,sp-18,timbre,intact,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.15792884793938738,0.22381708012674545
patch-multi/absolute,sp-18,timbre,intact,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.14460534211310658,0.22136777823042636
patch-multi/reference,sp-18,timbre,intact,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.14460534211310658,0.22136777823042636
patch-multi/absolute,sp-19,unchanged,intact,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04504450097295863,0.19399888576259522
patch-multi/reference,sp-19,unchanged,intact,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04504450097295863,0.19399888576259522
patch-multi/absolute,sp-19,unchanged,intact,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04712012858214934,0.19410451138101978
patch-multi/reference,sp-19,unchanged,intact,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04712012858214934,0.19410451138101978
patch-multi/absolute,sp-19,unchanged,reset,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-19,unchanged,reset,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-19,unchanged,reset,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-19,unchanged,reset,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-19,unchanged,removal,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0131875,0.0,1.3333333333333333,0.09851254473455434,0.189814354111909
patch-multi/reference,sp-19,unchanged,removal,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0131875,0.0,1.3333333333333333,0.09851254473455434,0.189814354111909
patch-multi/absolute,sp-19,unchanged,removal,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0131875,0.0,1.3333333333333333,0.09851254473455434,0.189814354111909
patch-multi/reference,sp-19,unchanged,removal,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0131875,0.0,1.3333333333333333,0.09851254473455434,0.189814354111909
patch-multi/absolute,sp-19,unchanged,swap,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04712012858214934,0.19410451138101978
patch-multi/reference,sp-19,unchanged,swap,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04712012858214934,0.19410451138101978
patch-multi/absolute,sp-19,unchanged,swap,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04504450097295863,0.19399888576259522
patch-multi/reference,sp-19,unchanged,swap,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04504450097295863,0.19399888576259522
patch-multi/absolute,sp-19,unchanged,shuffle,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.02125,0.0,1.3333333333333333,0.07284635264587166,0.2028070627190575
patch-multi/reference,sp-19,unchanged,shuffle,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.02125,0.0,1.3333333333333333,0.07284635264587166,0.2028070627190575
patch-multi/absolute,sp-19,unchanged,shuffle,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.02125,0.0,1.3333333333333333,0.07328076162637473,0.20323993539613833
patch-multi/reference,sp-19,unchanged,shuffle,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.02125,0.0,1.3333333333333333,0.07328076162637473,0.20323993539613833
patch-multi/absolute,sp-19,unchanged,ambiguous,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04504450097295863,0.19399888576259522
patch-multi/reference,sp-19,unchanged,ambiguous,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04504450097295863,0.19399888576259522
patch-multi/absolute,sp-19,unchanged,ambiguous,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04504450097295863,0.19399888576259522
patch-multi/reference,sp-19,unchanged,ambiguous,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.04504450097295863,0.19399888576259522
patch-multi/absolute,sp-19,unchanged,unrelated,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-19,unchanged,unrelated,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-19,unchanged,unrelated,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-19,unchanged,unrelated,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-19,transpose,intact,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-19,transpose,intact,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,5.0,1.0,0.0861904363066569,0.1962899783626019
patch-multi/absolute,sp-19,transpose,intact,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-19,transpose,intact,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,5.0,1.0,0.10000406019553326,0.19639560398102648
patch-multi/absolute,sp-19,stretch,intact,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0451875,0.0,1.3333333333333333,0.0421956176271928,0.16464050935670904
patch-multi/reference,sp-19,stretch,intact,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0451875,0.0,1.3333333333333333,0.0421956176271928,0.16464050935670904
patch-multi/absolute,sp-19,stretch,intact,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0451875,0.0,1.3333333333333333,0.045045832269001856,0.16476992249378306
patch-multi/reference,sp-19,stretch,intact,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0451875,0.0,1.3333333333333333,0.045045832269001856,0.16476992249378306
patch-multi/absolute,sp-19,timbre,intact,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,1.0,0.052103310565923946,0.19394399913468235
patch-multi/reference,sp-19,timbre,intact,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,1.0,0.052103310565923946,0.19394399913468235
patch-multi/absolute,sp-19,timbre,intact,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,1.0,0.054429494615682035,0.19404962475310694
patch-multi/reference,sp-19,timbre,intact,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,1.0,0.054429494615682035,0.19404962475310694
patch-multi/absolute,sp-20,unchanged,intact,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0206875,0.0,1.3333333333333333,0.06745899880045923,0.17642176426047243
patch-multi/reference,sp-20,unchanged,intact,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0206875,0.0,1.3333333333333333,0.06745899880045923,0.17642176426047243
patch-multi/absolute,sp-20,unchanged,intact,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0206875,0.0,1.3333333333333333,0.06854639661354966,0.1750269624392437
patch-multi/reference,sp-20,unchanged,intact,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0206875,0.0,1.3333333333333333,0.06854639661354966,0.1750269624392437
patch-multi/absolute,sp-20,unchanged,reset,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-20,unchanged,reset,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-20,unchanged,reset,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/reference,sp-20,unchanged,reset,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
patch-multi/absolute,sp-20,unchanged,removal,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0046875,0.0,1.3333333333333333,0.10650336922213781,0.18561494411468993
patch-multi/reference,sp-20,unchanged,removal,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0046875,0.0,1.3333333333333333,0.10650336922213781,0.18561494411468993
patch-multi/absolute,sp-20,unchanged,removal,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0046875,0.0,1.3333333333333333,0.10650336922213781,0.18561494411468993
patch-multi/reference,sp-20,unchanged,removal,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0046875,0.0,1.3333333333333333,0.10650336922213781,0.18561494411468993
patch-multi/absolute,sp-20,unchanged,swap,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0206875,0.0,1.3333333333333333,0.06854639661354966,0.1750269624392437
patch-multi/reference,sp-20,unchanged,swap,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0206875,0.0,1.3333333333333333,0.06854639661354966,0.1750269624392437
