model,cell,condition,bin,count,confidence,accuracy
a32_48/transition3,unchanged,ambiguous,9,4,0.99902,0.5
a32_48/transition3,unchanged,intact,3,10,0.374645,0.0
a32_48/transition3,unchanged,intact,9,38,0.9990200000000001,1.0
a32_48/transition3,unchanged,removal,3,48,0.37464499999999995,0.0625
a32_48/transition3,unchanged,reset,3,48,0.37464499999999995,0.0625
a32_48/transition3,unchanged,shuffle,3,10,0.374645,0.0
a32_48/transition3,unchanged,shuffle,9,38,0.9990200000000001,1.0
a32_48/transition3,unchanged,swap,3,10,0.374645,0.0
a32_48/transition3,unchanged,swap,9,38,0.9990200000000001,1.0
a32_48/transition3,unchanged,unrelated,3,48,0.37464499999999995,0.08333333333333333
a32_48_mixture/absolute,stretch,intact,3,2,0.36275402316055183,0.0
a32_48_mixture/absolute,stretch,intact,4,1,0.4038966440066844,0.0
a32_48_mixture/absolute,stretch,intact,5,11,0.558952312946388,0.8181818181818182
a32_48_mixture/absolute,stretch,intact,6,9,0.6549338271161631,0.8888888888888888
a32_48_mixture/absolute,stretch,intact,7,16,0.7416104036760021,0.5625
a32_48_mixture/absolute,stretch,intact,8,6,0.8400673058485159,1.0
a32_48_mixture/absolute,stretch,intact,9,3,0.9921068404734111,0.0
a32_48_mixture/absolute,timbre,intact,2,1,0.2242516332247738,0.0
a32_48_mixture/absolute,timbre,intact,3,2,0.3227861556110074,0.0
a32_48_mixture/absolute,timbre,intact,4,3,0.4794041818357054,0.6666666666666666
a32_48_mixture/absolute,timbre,intact,5,10,0.5380673495926087,0.8
a32_48_mixture/absolute,timbre,intact,6,9,0.6576479793640178,1.0
a32_48_mixture/absolute,timbre,intact,7,16,0.760433731133738,0.75
a32_48_mixture/absolute,timbre,intact,8,2,0.8102488160133048,0.0
a32_48_mixture/absolute,timbre,intact,9,5,0.9620550470480758,0.4
a32_48_mixture/absolute,transpose,intact,2,12,0.28335214013087795,0.08333333333333333
a32_48_mixture/absolute,transpose,intact,3,17,0.33163179799352627,0.058823529411764705
a32_48_mixture/absolute,transpose,intact,4,5,0.4719241021119312,0.0
a32_48_mixture/absolute,transpose,intact,5,1,0.5281974851479527,0.0
a32_48_mixture/absolute,transpose,intact,7,4,0.7597393549786391,0.0
a32_48_mixture/absolute,transpose,intact,8,4,0.8193416331570968,0.0
a32_48_mixture/absolute,transpose,intact,9,5,0.9882382703422247,0.0
a32_48_mixture/absolute,unchanged,ambiguous,3,14,0.3690344430651775,0.2857142857142857
a32_48_mixture/absolute,unchanged,ambiguous,4,10,0.4475242979551918,0.3
a32_48_mixture/absolute,unchanged,ambiguous,5,14,0.541567104975135,0.21428571428571427
a32_48_mixture/absolute,unchanged,ambiguous,7,4,0.7478607808797265,0.0
a32_48_mixture/absolute,unchanged,ambiguous,8,2,0.8496790011273803,0.0
a32_48_mixture/absolute,unchanged,ambiguous,9,4,0.9913233687175348,0.0
a32_48_mixture/absolute,unchanged,intact,3,3,0.3308718599756675,0.0
a32_48_mixture/absolute,unchanged,intact,4,3,0.48795377293036424,0.6666666666666666
a32_48_mixture/absolute,unchanged,intact,5,7,0.5185491803091397,0.5714285714285714
a32_48_mixture/absolute,unchanged,intact,6,11,0.6654384298069236,0.8181818181818182
a32_48_mixture/absolute,unchanged,intact,7,11,0.7431936107560225,0.6363636363636364
a32_48_mixture/absolute,unchanged,intact,8,8,0.8251916392804849,0.75
a32_48_mixture/absolute,unchanged,intact,9,5,0.9606820888464676,0.4
a32_48_mixture/absolute,unchanged,removal,2,14,0.2844021586309596,0.07142857142857142
a32_48_mixture/absolute,unchanged,removal,3,22,0.335109339050884,0.045454545454545456
a32_48_mixture/absolute,unchanged,removal,4,8,0.4418520689992935,0.0
a32_48_mixture/absolute,unchanged,removal,6,2,0.6469498391578712,0.0
a32_48_mixture/absolute,unchanged,removal,9,2,1.0,0.0
a32_48_mixture/absolute,unchanged,reset,2,8,0.2529211467508942,0.0
a32_48_mixture/absolute,unchanged,reset,3,38,0.34904882483490257,0.07894736842105263
a32_48_mixture/absolute,unchanged,reset,6,2,0.6251922296823247,0.0
a32_48_mixture/absolute,unchanged,shuffle,3,2,0.3446970593637977,0.0
a32_48_mixture/absolute,unchanged,shuffle,4,5,0.471689219789538,0.4
a32_48_mixture/absolute,unchanged,shuffle,5,6,0.5514046336048166,0.8333333333333334
a32_48_mixture/absolute,unchanged,shuffle,6,8,0.6467417514413318,0.625
a32_48_mixture/absolute,unchanged,shuffle,7,18,0.7472344504168374,0.7777777777777778
a32_48_mixture/absolute,unchanged,shuffle,8,4,0.8245795920966291,0.5
a32_48_mixture/absolute,unchanged,shuffle,9,5,0.9943302842798957,0.4
a32_48_mixture/absolute,unchanged,swap,3,3,0.3308718599756675,0.0
a32_48_mixture/absolute,unchanged,swap,4,3,0.4879537729303643,0.6666666666666666
a32_48_mixture/absolute,unchanged,swap,5,7,0.5185491803091397,0.5714285714285714
a32_48_mixture/absolute,unchanged,swap,6,11,0.6654384298069236,0.8181818181818182
a32_48_mixture/absolute,unchanged,swap,7,11,0.7431936107560225,0.6363636363636364
a32_48_mixture/absolute,unchanged,swap,8,8,0.8251916392804849,0.75
a32_48_mixture/absolute,unchanged,swap,9,5,0.9606820888464676,0.4
a32_48_mixture/absolute,unchanged,unrelated,2,12,0.28593750775380555,0.08333333333333333
a32_48_mixture/absolute,unchanged,unrelated,3,17,0.3313639012743626,0.058823529411764705
a32_48_mixture/absolute,unchanged,unrelated,4,8,0.45056018215894333,0.0
a32_48_mixture/absolute,unchanged,unrelated,5,2,0.5439966080686957,0.0
a32_48_mixture/absolute,unchanged,unrelated,7,6,0.7460508996816108,0.0
a32_48_mixture/absolute,unchanged,unrelated,9,3,0.9803963200635123,0.0
a32_48_mixture/present,stretch,intact,2,14,0.2825928634878507,0.07142857142857142
a32_48_mixture/present,stretch,intact,3,17,0.3457614706692665,0.058823529411764705
a32_48_mixture/present,stretch,intact,4,4,0.43269965663035315,0.0
a32_48_mixture/present,stretch,intact,5,2,0.5279388965020155,0.0
a32_48_mixture/present,stretch,intact,6,1,0.675981784123432,0.0
a32_48_mixture/present,stretch,intact,7,7,0.7420895503839441,0.0
a32_48_mixture/present,stretch,intact,9,3,0.9921068404734111,0.0
a32_48_mixture/present,timbre,intact,2,11,0.284010781816979,0.09090909090909091
a32_48_mixture/present,timbre,intact,3,18,0.33525402257175396,0.05555555555555555
a32_48_mixture/present,timbre,intact,4,8,0.463863512041258,0.0
a32_48_mixture/present,timbre,intact,5,2,0.5194383995808507,0.0
a32_48_mixture/present,timbre,intact,7,4,0.7197999575975792,0.0
a32_48_mixture/present,timbre,intact,8,2,0.8102488160133048,0.0
a32_48_mixture/present,timbre,intact,9,3,0.9934704616051425,0.0
a32_48_mixture/present,transpose,intact,2,12,0.28335214013087795,0.08333333333333333
a32_48_mixture/present,transpose,intact,3,17,0.33163179799352627,0.058823529411764705
a32_48_mixture/present,transpose,intact,4,5,0.4719241021119312,0.0
a32_48_mixture/present,transpose,intact,5,1,0.5281974851479527,0.0
a32_48_mixture/present,transpose,intact,7,4,0.7597393549786391,0.0
a32_48_mixture/present,transpose,intact,8,4,0.8193416331570968,0.0
a32_48_mixture/present,transpose,intact,9,5,0.9882382703422247,0.0
a32_48_mixture/present,unchanged,ambiguous,2,8,0.29506426461663016,0.125
a32_48_mixture/present,unchanged,ambiguous,3,18,0.3529713961595389,0.05555555555555555
a32_48_mixture/present,unchanged,ambiguous,4,4,0.4638082838697264,0.0
a32_48_mixture/present,unchanged,ambiguous,5,8,0.5576643594955499,0.0
a32_48_mixture/present,unchanged,ambiguous,7,4,0.7478607808797265,0.0
a32_48_mixture/present,unchanged,ambiguous,8,2,0.8496790011273803,0.0
a32_48_mixture/present,unchanged,ambiguous,9,4,0.9913233687175348,0.0
a32_48_mixture/present,unchanged,intact,2,9,0.28481495860156897,0.1111111111111111
a32_48_mixture/present,unchanged,intact,3,18,0.33195046314128973,0.05555555555555555
a32_48_mixture/present,unchanged,intact,4,7,0.45747153513681144,0.0
a32_48_mixture/present,unchanged,intact,5,3,0.5131054126335718,0.0
a32_48_mixture/present,unchanged,intact,6,2,0.654229263651934,0.0
a32_48_mixture/present,unchanged,intact,7,4,0.7197999575975792,0.0
a32_48_mixture/present,unchanged,intact,8,2,0.810252626564361,0.0
a32_48_mixture/present,unchanged,intact,9,3,0.9911821979357952,0.0
a32_48_mixture/present,unchanged,removal,2,14,0.2844021586309596,0.07142857142857142
a32_48_mixture/present,unchanged,removal,3,22,0.335109339050884,0.045454545454545456
a32_48_mixture/present,unchanged,removal,4,8,0.4418520689992935,0.0
a32_48_mixture/present,unchanged,removal,6,2,0.6469498391578712,0.0
a32_48_mixture/present,unchanged,removal,9,2,1.0,0.0
a32_48_mixture/present,unchanged,reset,2,8,0.2529211467508942,0.0
a32_48_mixture/present,unchanged,reset,3,38,0.34904882483490257,0.07894736842105263
a32_48_mixture/present,unchanged,reset,6,2,0.6251922296823247,0.0
a32_48_mixture/present,unchanged,shuffle,2,11,0.28660150901714454,0.09090909090909091
a32_48_mixture/present,unchanged,shuffle,3,15,0.3335244840151821,0.06666666666666667
a32_48_mixture/present,unchanged,shuffle,4,9,0.4509380450005229,0.0
a32_48_mixture/present,unchanged,shuffle,5,1,0.5544264143628865,0.0
a32_48_mixture/present,unchanged,shuffle,6,3,0.6369374167720684,0.0
a32_48_mixture/present,unchanged,shuffle,7,4,0.7157893594690093,0.0
a32_48_mixture/present,unchanged,shuffle,8,2,0.8115466565385712,0.0
a32_48_mixture/present,unchanged,shuffle,9,3,0.9912038071331596,0.0
a32_48_mixture/present,unchanged,swap,2,9,0.28481495860156897,0.1111111111111111
a32_48_mixture/present,unchanged,swap,3,18,0.33195046314128973,0.05555555555555555
a32_48_mixture/present,unchanged,swap,4,7,0.45747153513681144,0.0
a32_48_mixture/present,unchanged,swap,5,3,0.5131054126335718,0.0
a32_48_mixture/present,unchanged,swap,6,2,0.654229263651934,0.0
a32_48_mixture/present,unchanged,swap,7,4,0.7197999575975792,0.0
a32_48_mixture/present,unchanged,swap,8,2,0.810252626564361,0.0
a32_48_mixture/present,unchanged,swap,9,3,0.9911821979357952,0.0
a32_48_mixture/present,unchanged,unrelated,2,12,0.28593750775380555,0.08333333333333333
a32_48_mixture/present,unchanged,unrelated,3,17,0.3313639012743626,0.058823529411764705
a32_48_mixture/present,unchanged,unrelated,4,8,0.45056018215894333,0.0
a32_48_mixture/present,unchanged,unrelated,5,2,0.5439966080686957,0.0
a32_48_mixture/present,unchanged,unrelated,7,6,0.7460508996816108,0.0
a32_48_mixture/present,unchanged,unrelated,9,3,0.9803963200635123,0.0
a32_48_mixture/recency,stretch,intact,3,1,0.3967838364770176,0.0
a32_48_mixture/recency,stretch,intact,4,1,0.40473897347671456,0.0
a32_48_mixture/recency,stretch,intact,5,9,0.5404204295837126,0.3333333333333333
a32_48_mixture/recency,stretch,intact,6,15,0.6606281385916513,0.26666666666666666
a32_48_mixture/recency,stretch,intact,7,15,0.7479461148307461,0.4
a32_48_mixture/recency,stretch,intact,8,4,0.8353297513587481,0.5
a32_48_mixture/recency,stretch,intact,9,3,0.9921145759244562,0.0
a32_48_mixture/recency,timbre,intact,3,1,0.3747366400950245,0.0
a32_48_mixture/recency,timbre,intact,4,7,0.4725300115887303,0.14285714285714285
a32_48_mixture/recency,timbre,intact,5,8,0.5449319380339394,0.25
a32_48_mixture/recency,timbre,intact,6,8,0.6469616421193908,0.375
a32_48_mixture/recency,timbre,intact,7,15,0.7428798082153024,0.3333333333333333
a32_48_mixture/recency,timbre,intact,8,6,0.8320568360102388,0.3333333333333333
a32_48_mixture/recency,timbre,intact,9,3,0.993476860680751,0.0
a32_48_mixture/recency,transpose,intact,2,8,0.27880850260919793,0.0
a32_48_mixture/recency,transpose,intact,3,14,0.3217318339298266,0.07142857142857142
a32_48_mixture/recency,transpose,intact,4,3,0.4753010730658074,0.0
a32_48_mixture/recency,transpose,intact,5,4,0.5121945026731131,0.0
a32_48_mixture/recency,transpose,intact,6,6,0.6599162590882244,0.0
a32_48_mixture/recency,transpose,intact,7,4,0.7600188627729662,0.0
a32_48_mixture/recency,transpose,intact,8,4,0.8195186818975778,0.0
a32_48_mixture/recency,transpose,intact,9,5,0.9882497970678237,0.0
a32_48_mixture/recency,unchanged,ambiguous,4,4,0.4644425592177138,0.0
a32_48_mixture/recency,unchanged,ambiguous,5,12,0.5628586117093807,0.16666666666666666
a32_48_mixture/recency,unchanged,ambiguous,6,8,0.645103505682926,0.375
a32_48_mixture/recency,unchanged,ambiguous,7,10,0.7476546431829132,0.3
a32_48_mixture/recency,unchanged,ambiguous,8,6,0.8677111623734106,0.3333333333333333
a32_48_mixture/recency,unchanged,ambiguous,9,8,0.9711659359931285,0.25
a32_48_mixture/recency,unchanged,intact,3,2,0.36386965885888195,0.5
a32_48_mixture/recency,unchanged,intact,4,3,0.4714134562842169,0.0
a32_48_mixture/recency,unchanged,intact,5,9,0.5252627987072738,0.0
a32_48_mixture/recency,unchanged,intact,6,13,0.6664893021848844,0.46153846153846156
a32_48_mixture/recency,unchanged,intact,7,8,0.7483776943643395,0.25
a32_48_mixture/recency,unchanged,intact,8,10,0.837675653890142,0.4
a32_48_mixture/recency,unchanged,intact,9,3,0.9911908395546506,0.0
a32_48_mixture/recency,unchanged,removal,2,16,0.2816429529272853,0.0
a32_48_mixture/recency,unchanged,removal,3,18,0.32374045866243467,0.05555555555555555
a32_48_mixture/recency,unchanged,removal,4,6,0.4500512948039614,0.0
a32_48_mixture/recency,unchanged,removal,5,2,0.552430117196996,0.0
a32_48_mixture/recency,unchanged,removal,6,4,0.6317873524580022,0.0
a32_48_mixture/recency,unchanged,removal,9,2,1.0,0.0
a32_48_mixture/recency,unchanged,reset,2,10,0.25954627886476817,0.1
a32_48_mixture/recency,unchanged,reset,3,32,0.3403859339131824,0.0625
a32_48_mixture/recency,unchanged,reset,6,2,0.6255595486436152,0.0
