model,group,cell,condition,source_accuracy,false_match,rejection,pitch_accuracy,time_accuracy,timbre_accuracy,alignment_coverage
patch-multi/absolute,sp-21,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-21,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-21,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-21,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-21,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-21,unchanged,unrelated,0.0,1.0,0.0,0.0,0.0,0.0,1.0
patch-multi/absolute,sp-21,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-21,transpose,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-21,stretch,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-21,stretch,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-21,timbre,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-21,timbre,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-22,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-22,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-22,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-22,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-22,unchanged,removal,0.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-22,unchanged,removal,0.0,0.0,0.0,0.0,0.0,0.0,1.0
patch-multi/absolute,sp-22,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-22,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-22,unchanged,shuffle,0.5,0.0,0.0,1.0,0.5,1.0,1.0
patch-multi/reference,sp-22,unchanged,shuffle,0.5,0.0,0.0,1.0,0.5,1.0,1.0
patch-multi/absolute,sp-22,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-22,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-22,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-22,unchanged,unrelated,0.0,1.0,0.0,0.0,0.0,0.0,1.0
patch-multi/absolute,sp-22,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-22,transpose,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-22,stretch,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-22,stretch,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-22,timbre,intact,1.0,0.0,0.0,1.0,1.0,0.0,1.0
