model,group,cell,condition,accuracy,log_loss,brier,entropy,unknown_mass,confidence,paired_success
fixed/transition3,sp-16,unchanged,intact,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
trim16/absolute,sp-16,unchanged,intact,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999,1.0
trim16/present,sp-16,unchanged,intact,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
trim16/recency,sp-16,unchanged,intact,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951,0.0
trim16/reference,sp-16,unchanged,intact,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999,1.0
trim16/transition1,sp-16,unchanged,intact,1.0,0.1732618260336919,0.050334308615732626,0.44765370924871656,1.9999999999999998e-05,0.8409263031608565,1.0
trim16/transition2,sp-16,unchanged,intact,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999,1.0
trim16/transition3,sp-16,unchanged,intact,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999,1.0
patch-multi/absolute,sp-16,unchanged,intact,1.0,0.03569919954440018,0.0026168920429907594,0.15806948191855288,2e-05,0.9649905682625904,1.0
patch-multi/present,sp-16,unchanged,intact,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
patch-multi/recency,sp-16,unchanged,intact,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951,0.0
patch-multi/reference,sp-16,unchanged,intact,1.0,0.04393608921067828,0.0036287447799200345,0.18552217596619763,2e-05,0.9570192018732595,1.0
patch-multi/transition1,sp-16,unchanged,intact,0.0,10.819778284410283,1.9980009799999998,0.011582902361779873,2e-05,0.99902,0.0
patch-multi/transition2,sp-16,unchanged,intact,0.0,10.819778284410283,1.99800098,0.011582902361779817,2e-05,0.99902,0.0
patch-multi/transition3,sp-16,unchanged,intact,0.0,10.819778284410283,1.99800098,0.011582902361779817,2e-05,0.99902,0.0
oracle-boundary/absolute,sp-16,unchanged,intact,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999,1.0
oracle-boundary/present,sp-16,unchanged,intact,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
oracle-boundary/recency,sp-16,unchanged,intact,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951,0.0
oracle-boundary/reference,sp-16,unchanged,intact,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999,1.0
oracle-boundary/transition1,sp-16,unchanged,intact,0.5,1.0993056551200797,0.6665024380504714,1.1086896817565328,2e-05,0.3331022912903337,0.0
oracle-boundary/transition2,sp-16,unchanged,intact,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999,1.0
oracle-boundary/transition3,sp-16,unchanged,intact,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999,1.0
a32_48/absolute,sp-16,unchanged,reset,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
a32_48/present,sp-16,unchanged,reset,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
a32_48/recency,sp-16,unchanged,reset,0.0,2.1223490426911127,1.0444812499999996,1.5615080942797084,0.001,0.35724999999999996,0.0
a32_48/reference,sp-16,unchanged,reset,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
a32_48/transition1,sp-16,unchanged,reset,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
a32_48/transition2,sp-16,unchanged,reset,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
a32_48/transition3,sp-16,unchanged,reset,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
a32_48_mixture/absolute,sp-16,unchanged,reset,0.0,2.4450563367111684,1.0703685347279257,1.4939321038968127,0.30566063694175766,0.30566063694175766,0.0
a32_48_mixture/present,sp-16,unchanged,reset,0.0,2.4450563367111684,1.0703685347279257,1.4939321038968127,0.30566063694175766,0.30566063694175766,0.0
a32_48_mixture/recency,sp-16,unchanged,reset,0.0,2.487123484724752,1.064461653875072,1.694889540244812,0.30634110312687846,0.30634110312687846,0.0
a32_48_mixture/reference,sp-16,unchanged,reset,0.0,2.4450563367111684,1.0703685347279257,1.4939321038968127,0.30566063694175766,0.30566063694175766,0.0
a32_48_mixture/transition1,sp-16,unchanged,reset,0.0,2.4450563367111684,1.0703685347279257,1.4939321038968127,0.30566063694175766,0.30566063694175766,0.0
a32_48_mixture/transition2,sp-16,unchanged,reset,0.0,2.4450563367111684,1.0703685347279257,1.4939321038968127,0.30566063694175766,0.30566063694175766,0.0
a32_48_mixture/transition3,sp-16,unchanged,reset,0.0,2.4450563367111684,1.0703685347279257,1.4939321038968127,0.30566063694175766,0.30566063694175766,0.0
b2/absolute,sp-16,unchanged,reset,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
b2/present,sp-16,unchanged,reset,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
b2/recency,sp-16,unchanged,reset,0.0,2.1223490426911127,1.0444812499999996,1.5615080942797084,0.001,0.35724999999999996,0.0
