model,group,cell,condition,variant,accuracy,log_loss,brier,entropy,unknown_mass,confidence
a32_48/reference,sp-16,unchanged,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
a32_48/transition1,sp-16,unchanged,intact,1,0.0,0.8069394228780318,0.6122785544617737,0.6981305630080855,2e-05,0.5528183257076482
a32_48/transition2,sp-16,unchanged,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
a32_48/transition3,sp-16,unchanged,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
a32_48_mixture/absolute,sp-16,unchanged,intact,1,0.0,1.1084070905386112,0.8971491102751401,0.638211606123605,0.6695984711991004,0.6695984711991004
a32_48_mixture/present,sp-16,unchanged,intact,1,0.0,3.1877085047021785,1.3998811121130004,1.0524245035696445,0.6695984711991004,0.6695984711991004
a32_48_mixture/recency,sp-16,unchanged,intact,1,0.0,4.503229936995669,1.5188745516302662,0.8045815014109333,0.6699222711733248,0.6699222711733248
a32_48_mixture/reference,sp-16,unchanged,intact,1,0.0,1.1084070905386112,0.8971491102751401,0.638211606123605,0.6695984711991004,0.6695984711991004
a32_48_mixture/transition1,sp-16,unchanged,intact,1,0.0,1.8728410415009396,1.1957273642310131,0.8661527210781301,0.6695984711991004,0.6695984711991004
a32_48_mixture/transition2,sp-16,unchanged,intact,1,0.0,1.1084070905386112,0.8971491102751401,0.638211606123605,0.6695984711991004,0.6695984711991004
a32_48_mixture/transition3,sp-16,unchanged,intact,1,0.0,1.1084070905386112,0.8971491102751401,0.638211606123605,0.6695984711991004,0.6695984711991004
b2/absolute,sp-16,unchanged,intact,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
b2/present,sp-16,unchanged,intact,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
b2/recency,sp-16,unchanged,intact,1,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
b2/reference,sp-16,unchanged,intact,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
b2/transition1,sp-16,unchanged,intact,1,0.0,10.819778284410283,1.9980009799999996,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
b2/transition2,sp-16,unchanged,intact,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
b2/transition3,sp-16,unchanged,intact,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
f32/absolute,sp-16,unchanged,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
f32/present,sp-16,unchanged,intact,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
f32/recency,sp-16,unchanged,intact,1,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
f32/reference,sp-16,unchanged,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
f32/single,sp-16,unchanged,intact,1,0.0,+Infinity,2.0,-0.0,1.0,1.0
f32/transition1,sp-16,unchanged,intact,1,0.0,10.819778284410283,1.99800098,0.011582902361779817,2e-05,0.99902
f32/transition2,sp-16,unchanged,intact,1,0.0,10.819778284410283,1.99800098,0.011582902361779817,2e-05,0.99902
f32/transition3,sp-16,unchanged,intact,1,0.0,10.819778284410283,1.99800098,0.011582902361779817,2e-05,0.99902
fixed/absolute,sp-16,unchanged,intact,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/present,sp-16,unchanged,intact,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/recency,sp-16,unchanged,intact,1,0.0,2.1223490426911127,1.0444812499999996,1.5615080942797084,0.001,0.35724999999999996
fixed/reference,sp-16,unchanged,intact,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition1,sp-16,unchanged,intact,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition2,sp-16,unchanged,intact,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition3,sp-16,unchanged,intact,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
trim16/absolute,sp-16,unchanged,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
trim16/present,sp-16,unchanged,intact,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
trim16/recency,sp-16,unchanged,intact,1,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
trim16/reference,sp-16,unchanged,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
trim16/transition1,sp-16,unchanged,intact,1,1.0,0.17786034996229413,0.052787431141363195,0.4541165589921318,1.9999999999999998e-05,0.8370593106912271
trim16/transition2,sp-16,unchanged,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
trim16/transition3,sp-16,unchanged,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
patch-multi/absolute,sp-16,unchanged,intact,1,1.0,0.046857095757550614,0.004103980443036059,0.19426186386086117,2e-05,0.9542237504696247
patch-multi/present,sp-16,unchanged,intact,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
patch-multi/recency,sp-16,unchanged,intact,1,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
patch-multi/reference,sp-16,unchanged,intact,1,1.0,0.046857095757550614,0.004103980443036059,0.19426186386086117,2e-05,0.9542237504696247
patch-multi/transition1,sp-16,unchanged,intact,1,0.0,10.819778284410283,1.99800098,0.011582902361779817,2e-05,0.99902
