model,group,cell,condition,accuracy,paired_success,log_loss,brier
fixed/absolute,ewr-16,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
fixed/present,ewr-16,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
fixed/recency,ewr-16,joint,ambiguous,0.5,0.0,3.4789982477094417,0.95245
fixed/reference,ewr-16,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition1,ewr-16,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition2,ewr-16,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition3,ewr-16,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/absolute,ewr-16,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/present,ewr-16,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/recency,ewr-16,joint,ambiguous,0.5,0.0,3.4789982477094417,0.95245
oracle-boundary/reference,ewr-16,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition1,ewr-16,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition2,ewr-16,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition3,ewr-16,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
repaired/absolute,ewr-17,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/present,ewr-17,detached,intact,0.0,0.0,10.819778284410283,1.3118752925
repaired/recency,ewr-17,detached,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired/reference,ewr-17,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/transition1,ewr-17,detached,intact,1.0,1.0,0.6929438347829395,0.49883779025867314
repaired/transition2,ewr-17,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/transition3,ewr-17,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/absolute,ewr-17,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/present,ewr-17,detached,intact,0.0,0.0,10.819778284410283,1.3118752925
streaming/recency,ewr-17,detached,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
streaming/reference,ewr-17,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/transition1,ewr-17,detached,intact,0.5,0.0,0.849202628454578,0.6429011860195111
streaming/transition2,ewr-17,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/transition3,ewr-17,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
fixed/absolute,ewr-17,detached,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/present,ewr-17,detached,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/recency,ewr-17,detached,intact,0.0,0.0,6.907755278982137,1.90245
fixed/reference,ewr-17,detached,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition1,ewr-17,detached,intact,0.0,0.0,10.819778284410283,1.99800098
fixed/transition2,ewr-17,detached,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition3,ewr-17,detached,intact,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/absolute,ewr-17,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/present,ewr-17,detached,intact,0.0,0.0,10.819778284410283,1.3118752925
