model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,paired_success,paired_success_lower95,paired_success_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95
fixed/transition1,joint,removal,0.08333333333333333,0.020833333333333332,0.16666666666666666,0.0,0.0,0.0,8.815965615444751,7.17629862938475,10.409861537895283,1.5196568862500002,1.2934640346875002,1.7302975971875003
fixed/transition1,joint,reset,0.08333333333333333,0.020833333333333332,0.16666666666666666,0.0,0.0,0.0,8.815965615444751,7.17629862938475,10.409861537895283,1.5196568862500002,1.2934640346875002,1.7302975971875003
fixed/transition1,joint,shuffle,0.16666666666666666,0.0625,0.2916666666666667,0.041666666666666664,0.0,0.125,6.739876410744553,4.87575954292009,8.519545093798387,1.2007530543485,0.9793045054069808,1.419403997531558
fixed/transition1,joint,swap,0.16666666666666666,0.0625,0.2916666666666667,0.041666666666666664,0.0,0.125,6.6512357829429005,4.882651306499944,8.397794938469339,1.2500837435273042,1.0445861040402775,1.4506524208443576
fixed/transition1,legato,intact,0.2708333333333333,0.16666666666666666,0.375,0.0,0.0,0.0,5.51140289373853,3.8098764634000353,7.298576646779117,1.1233355505723337,0.9213262789100661,1.3429817205761498
fixed/transition2,detached,intact,0.2708333333333333,0.14583333333333334,0.3958333333333333,0.08333333333333333,0.0,0.20833333333333334,4.408232667589597,2.717890049624671,6.325407777631647,0.8695524331250001,0.7004222534375001,1.0282763628125
fixed/transition2,duration,intact,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/transition2,joint,ambiguous,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/transition2,joint,intact,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/transition2,joint,removal,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/transition2,joint,reset,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/transition2,joint,shuffle,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/transition2,joint,swap,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/transition2,legato,intact,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.44909916290361,2.7685656815295956,6.381802952307211,0.8929951128125001,0.7473076128124999,1.03999770265625
fixed/transition3,detached,intact,0.2708333333333333,0.14583333333333334,0.3958333333333333,0.08333333333333333,0.0,0.20833333333333334,4.408232667589597,2.717890049624671,6.325407777631647,0.8695524331250001,0.7004222534375001,1.0282763628125
fixed/transition3,duration,intact,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/transition3,joint,ambiguous,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/transition3,joint,intact,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/transition3,joint,removal,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/transition3,joint,reset,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/transition3,joint,shuffle,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/transition3,joint,swap,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
fixed/transition3,legato,intact,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.44909916290361,2.7685656815295956,6.381802952307211,0.8929951128125001,0.7473076128124999,1.03999770265625
oracle-boundary/absolute,detached,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/absolute,duration,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/absolute,joint,ambiguous,0.5,0.5,0.5,0.0,0.0,0.0,0.6941076416550699,0.6941076416550699,0.6941076416550699,0.50000048,0.50000048,0.50000048
oracle-boundary/absolute,joint,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/absolute,joint,removal,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
oracle-boundary/absolute,joint,reset,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
oracle-boundary/absolute,joint,shuffle,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/absolute,joint,swap,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/absolute,legato,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/present,detached,intact,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
oracle-boundary/present,duration,intact,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
oracle-boundary/present,joint,ambiguous,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
oracle-boundary/present,joint,intact,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
oracle-boundary/present,joint,removal,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
oracle-boundary/present,joint,reset,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
oracle-boundary/present,joint,shuffle,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
oracle-boundary/present,joint,swap,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
oracle-boundary/present,legato,intact,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,4.489965658217623,2.850298672157622,6.402236199964218,0.9164377925,0.7811565425000001,1.0517190425
oracle-boundary/recency,detached,intact,0.5,0.2916666666666667,0.7083333333333334,0.5,0.2916666666666667,0.7083333333333334,3.4789982477094417,2.050349484679152,4.907647010739731,0.9524500000000001,0.5566166666666666,1.3482833333333335
oracle-boundary/recency,duration,intact,0.5,0.2916666666666667,0.7083333333333334,0.5,0.2916666666666667,0.7083333333333334,3.4789982477094417,2.050349484679152,4.907647010739731,0.9524500000000001,0.5566166666666666,1.3482833333333335
oracle-boundary/recency,joint,ambiguous,0.5,0.5,0.5,0.0,0.0,0.0,3.4789982477094417,3.4789982477094417,3.4789982477094417,0.9524500000000001,0.9524500000000001,0.9524500000000001
oracle-boundary/recency,joint,intact,0.5,0.2916666666666667,0.7083333333333334,0.5,0.2916666666666667,0.7083333333333334,3.4789982477094417,2.050349484679152,4.907647010739731,0.9524500000000001,0.5566166666666666,1.3482833333333335
oracle-boundary/recency,joint,removal,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,3.2165125637169343,2.2367732609152715,4.304557994654144,0.9059395833333331,0.7772937499999998,1.0345854166666664
oracle-boundary/recency,joint,reset,0.22916666666666666,0.125,0.3333333333333333,0.0,0.0,0.0,3.2165125637169343,2.2367732609152715,4.304557994654144,0.9059395833333331,0.7772937499999998,1.0345854166666664
