model,group,cell,condition,variant,accuracy,log_loss,brier
repaired/reference,ewr-16,joint,removal,1,0.0,10.819778284410283,1.3118752925
repaired/transition1,ewr-16,joint,removal,1,0.0,10.819778284410283,1.3118752925
repaired/transition2,ewr-16,joint,removal,1,0.0,10.819778284410283,1.3118752925
repaired/transition3,ewr-16,joint,removal,1,0.0,10.819778284410283,1.3118752925
streaming/absolute,ewr-16,joint,removal,1,0.0,10.819778284410283,1.3118752925
streaming/present,ewr-16,joint,removal,1,0.0,10.819778284410283,1.3118752925
streaming/recency,ewr-16,joint,removal,1,0.0,6.907755278982137,1.2819812499999999
streaming/reference,ewr-16,joint,removal,1,0.0,10.819778284410283,1.3118752925
streaming/transition1,ewr-16,joint,removal,1,0.0,10.819778284410283,1.3118752925
streaming/transition2,ewr-16,joint,removal,1,0.0,10.819778284410283,1.3118752925
streaming/transition3,ewr-16,joint,removal,1,0.0,10.819778284410283,1.3118752925
fixed/absolute,ewr-16,joint,removal,1,0.0,10.819778284410283,1.3118752925
