front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
fixed,ewr-29,detached,intact,1,11,15,7,3,0.2,0.2727272727272727,0.23076923076923078,6,2,0.5454545454545454,0.18181818181818182,0.5454545454545454,0.6363636363636364,1.72953992684763,0.09090909090909091,0.02032142857142857,0.018883928571428572,0.01025,0.0
oracle-boundary,ewr-29,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.01160514028453331,0.0,0.0,0.0,0.044375,0.044375
repaired,ewr-29,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0002029013081483329,0.0,0.007846590909090909,0.010289772727272726,0.106875,0.096
streaming,ewr-29,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.36363636363636365,1.0,8.547598221629478,0.09090909090909091,0.007846590909090909,0.010289772727272726,0.106875,0.096
fixed,ewr-29,legato,intact,0,11,13,6,3,0.23076923076923078,0.2727272727272727,0.25,3,0,0.2727272727272727,0.0,0.5454545454545454,0.5454545454545454,0.0020255709252984624,0.0,0.01721875,0.020802083333333332,0.01025,0.0
oracle-boundary,ewr-29,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00014618338242607237,0.0,0.0,0.0,0.044375,0.044375
repaired,ewr-29,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0001989380854962939,0.0,0.007846590909090909,0.010289772727272727,0.106875,0.1
streaming,ewr-29,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,1.0,6.394452065484648,0.09090909090909091,0.007846590909090909,0.010289772727272727,0.106875,0.1
fixed,ewr-29,legato,intact,1,11,13,7,3,0.23076923076923078,0.2727272727272727,0.25,2,0,0.18181818181818182,0.0,0.5454545454545454,0.6363636363636364,2.717162466630093,0.0,0.02032142857142857,0.018883928571428572,0.01025,0.0
oracle-boundary,ewr-29,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00014618338242607237,0.0,0.0,0.0,0.044375,0.044375
repaired,ewr-29,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0002721050938825152,0.0,0.008886363636363637,0.011159090909090908,0.11525,0.104
streaming,ewr-29,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,1.0,8.540046542032583,0.09090909090909091,0.008886363636363637,0.011159090909090908,0.11525,0.104
fixed,ewr-29,duration,intact,0,11,16,9,1,0.0625,0.09090909090909091,0.07407407407407407,5,1,0.45454545454545453,0.09090909090909091,0.6363636363636364,0.8181818181818182,4.2276776205296445,0.0,0.01648611111111111,0.02286111111111111,0.0091875,0.0
