kind,model,group,cell,condition,variant,accuracy,log_loss,brier,target_quantization_error
oracle,retrieval_absolute,cmr-16,joint,ambiguous,1,0.0,0.7423374247507171,0.5012000000000001,0.0
oracle,reference,cmr-16,joint,ambiguous,1,0.0,0.6941076416550698,0.50000048,0.0
oracle,candidate,cmr-16,joint,ambiguous,1,0.0,0.7423374247507171,0.5012000000000001,0.0
acoustic,candidate,cmr-17,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,2.3442968366538253e-06
acoustic,present,cmr-17,matched,intact,0,0.0,2.1223490426911127,0.9175671875000004,2.3442968366538253e-06
acoustic,recency,cmr-17,matched,intact,0,0.0,6.907755278982137,1.9024499999999986,2.3442968366538253e-06
acoustic,reference,cmr-17,matched,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,2.3442968366538253e-06
acoustic,retrieval_absolute,cmr-17,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,2.3442968366538253e-06
acoustic,transition,cmr-17,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,2.3442968366538253e-06
oracle,present,cmr-17,matched,intact,0,0.0,2.1223490426911127,0.9175671875000004,0.0
oracle,recency,cmr-17,matched,intact,0,0.0,6.907755278982137,1.9024499999999986,0.0
oracle,transition,cmr-17,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,retrieval_absolute,cmr-17,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,reference,cmr-17,matched,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.0
oracle,candidate,cmr-17,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
acoustic,candidate,cmr-17,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,2.3442968366538253e-06
acoustic,present,cmr-17,matched,intact,1,0.0,2.1223490426911127,0.9175671875000004,2.3442968366538253e-06
acoustic,recency,cmr-17,matched,intact,1,0.0,6.907755278982137,1.9024499999999986,2.3442968366538253e-06
acoustic,reference,cmr-17,matched,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,2.3442968366538253e-06
acoustic,retrieval_absolute,cmr-17,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,2.3442968366538253e-06
acoustic,transition,cmr-17,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,2.3442968366538253e-06
oracle,present,cmr-17,matched,intact,1,0.0,2.1223490426911127,0.9175671875000004,0.0
oracle,recency,cmr-17,matched,intact,1,0.0,6.907755278982137,1.9024499999999986,0.0
oracle,transition,cmr-17,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,retrieval_absolute,cmr-17,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,reference,cmr-17,matched,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.0
oracle,candidate,cmr-17,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
acoustic,candidate,cmr-17,timbre,intact,0,1.0,0.05024121643674679,0.0024500000000000632,2.3442968366538253e-06
acoustic,present,cmr-17,timbre,intact,0,0.0,2.1223490426911127,0.9175671875000004,2.3442968366538253e-06
acoustic,recency,cmr-17,timbre,intact,0,0.0,2.1223490426911127,0.9175671875000004,2.3442968366538253e-06
acoustic,reference,cmr-17,timbre,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,2.3442968366538253e-06
acoustic,retrieval_absolute,cmr-17,timbre,intact,0,0.0,2.1223490426911127,0.9175671875000004,2.3442968366538253e-06
acoustic,transition,cmr-17,timbre,intact,0,0.0,2.1223490426911127,0.9175671875000004,2.3442968366538253e-06
oracle,present,cmr-17,timbre,intact,0,0.0,2.1223490426911127,0.9175671875000004,0.0
oracle,recency,cmr-17,timbre,intact,0,0.0,6.907755278982137,1.9024499999999986,0.0
oracle,transition,cmr-17,timbre,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,retrieval_absolute,cmr-17,timbre,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,reference,cmr-17,timbre,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.0
oracle,candidate,cmr-17,timbre,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
acoustic,candidate,cmr-17,timbre,intact,1,1.0,0.05024121643674679,0.0024500000000000632,2.3442968366538253e-06
acoustic,present,cmr-17,timbre,intact,1,0.0,2.1223490426911127,0.9175671875000004,2.3442968366538253e-06
acoustic,recency,cmr-17,timbre,intact,1,0.0,2.1223490426911127,0.9175671875000004,2.3442968366538253e-06
acoustic,reference,cmr-17,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,2.3442968366538253e-06
acoustic,retrieval_absolute,cmr-17,timbre,intact,1,0.0,2.1223490426911127,0.9175671875000004,2.3442968366538253e-06
acoustic,transition,cmr-17,timbre,intact,1,0.0,2.1223490426911127,0.9175671875000004,2.3442968366538253e-06
oracle,present,cmr-17,timbre,intact,1,0.0,2.1223490426911127,0.9175671875000004,0.0
oracle,recency,cmr-17,timbre,intact,1,0.0,6.907755278982137,1.9024499999999986,0.0
oracle,transition,cmr-17,timbre,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,retrieval_absolute,cmr-17,timbre,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,reference,cmr-17,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.0
oracle,candidate,cmr-17,timbre,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
