kind,model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,paired_success,paired_success_lower95,paired_success_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95
acoustic,transition,matched,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.05024121643674679,0.05024121643674679,0.05024121643674679,0.0024500000000000632,0.0024500000000000632,0.0024500000000000632
acoustic,transition,timbre,intact,0.5416666666666666,0.3541666666666667,0.7291666666666666,0.5,0.2916666666666667,0.7083333333333334,2.2155337469938003,1.166256667789886,3.3754631639671873,0.49959192708333305,0.30254114583333336,0.7015906249999992
oracle,candidate,duration,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.05024121643674679,0.05024121643674679,0.05024121643674679,0.0024500000000000632,0.0024500000000000632,0.0024500000000000632
oracle,candidate,joint,ambiguous,0.5,0.5,0.5,0.0,0.0,0.0,0.742337424750717,0.742337424750717,0.742337424750717,0.5012000000000001,0.5012000000000001,0.5012000000000001
oracle,candidate,joint,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.05024121643674679,0.05024121643674679,0.05024121643674679,0.0024500000000000632,0.0024500000000000632,0.0024500000000000632
oracle,candidate,joint,removal,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,1.8538972761195716,1.7867843344766865,1.9377884531731782,0.8384005208333338,0.8186088541666671,0.8631401041666672
oracle,candidate,joint,reset,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,1.8538972761195716,1.7867843344766865,1.9377884531731782,0.8384005208333338,0.8186088541666671,0.8631401041666672
oracle,candidate,joint,shuffle,1.0,1.0,1.0,1.0,1.0,1.0,0.05024121643674679,0.05024121643674679,0.05024121643674679,0.0024500000000000632,0.0024500000000000632,0.0024500000000000632
oracle,candidate,joint,swap,1.0,1.0,1.0,1.0,1.0,1.0,0.05024121643674679,0.05024121643674679,0.05024121643674679,0.0024500000000000632,0.0024500000000000632,0.0024500000000000632
oracle,candidate,matched,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.05024121643674679,0.05024121643674679,0.05024121643674679,0.0024500000000000632,0.0024500000000000632,0.0024500000000000632
oracle,candidate,timbre,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.05024121643674679,0.05024121643674679,0.05024121643674679,0.0024500000000000632,0.0024500000000000632,0.0024500000000000632
oracle,present,duration,intact,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,1.8538972761195716,1.7867843344766865,1.9377884531731782,0.8384005208333338,0.8186088541666671,0.8631401041666672
oracle,present,joint,ambiguous,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,1.8538972761195716,1.7867843344766865,1.9377884531731782,0.8384005208333326,0.8186088541666661,0.863140104166666
oracle,present,joint,intact,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,1.8538972761195716,1.7867843344766865,1.9377884531731782,0.8384005208333338,0.8186088541666671,0.8631401041666672
oracle,present,joint,removal,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,1.8538972761195716,1.7867843344766865,1.9377884531731782,0.8384005208333338,0.8186088541666671,0.8631401041666672
oracle,present,joint,reset,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,1.8538972761195716,1.7867843344766865,1.9377884531731782,0.8384005208333338,0.8186088541666671,0.8631401041666672
oracle,present,joint,shuffle,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,1.8538972761195716,1.7867843344766865,1.9377884531731782,0.8384005208333338,0.8186088541666671,0.8631401041666672
oracle,present,joint,swap,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,1.8538972761195716,1.7867843344766865,1.9377884531731782,0.8384005208333338,0.8186088541666671,0.8631401041666672
oracle,present,matched,intact,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,1.8538972761195716,1.7867843344766865,1.9377884531731782,0.8384005208333338,0.8186088541666671,0.8631401041666672
oracle,present,timbre,intact,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.0,0.0,0.0,1.8538972761195716,1.7867843344766865,1.9377884531731782,0.8384005208333338,0.8186088541666671,0.8631401041666672
oracle,recency,duration,intact,0.5,0.2916666666666667,0.7083333333333334,0.5,0.2916666666666667,0.7083333333333334,3.4789982477094417,2.050349484679152,4.907647010739731,0.9524499999999992,0.5566166666666662,1.3482833333333322
oracle,recency,joint,ambiguous,0.5,0.5,0.5,0.0,0.0,0.0,3.4789982477094417,3.4789982477094417,3.4789982477094417,0.9524499999999994,0.9524499999999994,0.9524499999999994
