query_id,candidate_id,path_index,used_for_support,reference_event,query_event,reference_pitch_semitones,query_pitch_semitones,pitch_residual_semitones,pitch_loss,reference_onset_s,query_onset_s,saved_onset_change_s,timing_residual_s,timing_loss
e05_query_a_delete_closed,e05_reference_a,0,True,5,4,3.5829532146453857,3.5829532146453857,0.0,0.0,0.9580000042915344,0.7929999828338623,-0.16500002145767212,0.0,0.0
e05_query_a_delete_closed,e05_reference_a,1,False,0,0,10.58279037475586,10.58279037475586,0.0,0.0,0.1340000033378601,0.1340000033378601,0.0,0.0,0.0
e05_query_a_delete_closed,e05_reference_a,1,False,1,1,-0.4172993004322052,-0.4172993004322052,0.0,0.0,0.29899999499320984,0.29899999499320984,0.0,0.03714502638518202,0.06429005277036405
e05_query_a_delete_closed,e05_reference_a,1,False,3,2,5.58267068862915,6.582613945007324,0.9999432563781738,0.4749716281890869,0.6290000081062317,0.46399998664855957,-0.16500002145767212,-0.05356493559298603,0.09712987118597206
e05_query_a_delete_closed,e05_reference_a,1,False,4,3,12.58271312713623,12.58271312713623,0.0,0.0,0.7940000295639038,0.6290000081062317,-0.16500002145767212,-0.016419902498663985,0.02283980499732797
e05_query_a_delete_closed,e05_reference_a,1,False,5,4,3.5829532146453857,3.5829532146453857,0.0,0.0,0.9580000042915344,0.7929999828338623,-0.16500002145767212,0.020499998692309895,0.03099999738461979
e05_query_b_delete_closed,e05_distractor_1,0,True,0,0,-0.4172990620136261,-0.4172990620136261,0.0,0.0,0.1340000033378601,0.1340000033378601,0.0,0.0,0.0
e05_query_b_delete_closed,e05_distractor_1,0,True,1,1,3.5829529762268066,3.5829529762268066,0.0,0.0,0.2980000078678131,0.2980000078678131,0.0,0.03686897962517165,0.0637379592503433
e05_query_b_delete_closed,e05_distractor_1,0,True,3,2,5.58267068862915,5.58267068862915,0.0,0.0,0.6290000081062317,0.46399998664855957,-0.16500002145767212,-0.053718652029833155,0.09743730405966632
e05_query_b_delete_closed,e05_distractor_1,0,True,4,3,10.58279037475586,10.58279037475586,0.0,0.0,0.7940000295639038,0.6290000081062317,-0.16500002145767212,-0.01662485775396326,0.023249715507926517
e05_query_b_delete_closed,e05_distractor_1,0,True,5,4,6.58261251449585,6.58261251449585,0.0,0.0,0.9589999914169312,0.7940000295639038,-0.16499996185302734,0.020468982726780785,0.030937965453561568
e05_query_b_delete_closed,e05_reference_b,0,True,0,0,-0.4172990620136261,-0.4172990620136261,0.0,0.0,0.1340000033378601,0.1340000033378601,0.0,-0.020468982726780785,0.030937965453561568
e05_query_b_delete_closed,e05_reference_b,0,True,1,1,3.5829529762268066,3.5829529762268066,0.0,0.0,0.2980000078678131,0.2980000078678131,0.0,0.01639999689839086,0.02279999379678172
e05_query_b_delete_closed,e05_reference_b,0,True,2,2,5.58267068862915,5.58267068862915,0.0,0.0,0.46399998664855957,0.46399998664855957,0.0,0.05371859242518834,0.09743718485037668
e05_query_b_delete_closed,e05_reference_b,0,True,4,3,10.58279037475586,10.58279037475586,0.0,0.0,0.7940000295639038,0.6290000081062317,-0.16500002145767212,-0.037093840480744045,0.0641876809614881
e05_query_b_delete_closed,e05_reference_b,0,True,5,4,6.58261251449585,6.58261251449585,0.0,0.0,0.9589999914169312,0.7940000295639038,-0.16499996185302734,0.0,0.0
e21_query_a_delete_closed,e21_distractor_3,0,True,0,0,17.359695434570312,17.359695434570312,0.0,0.0,0.1340000033378601,0.1340000033378601,0.0,0.0,0.0
e21_query_a_delete_closed,e21_distractor_3,0,True,1,1,5.359889507293701,5.359889507293701,0.0,0.0,0.29899999499320984,0.29899999499320984,0.0,0.03712498988956245,0.0642499797791249
e21_query_a_delete_closed,e21_distractor_3,0,True,3,2,3.359966993331909,3.359966993331909,0.0,0.0,0.628000020980835,0.46299999952316284,-0.16500002145767212,-0.053850042136782295,0.0977000842735646
e21_query_a_delete_closed,e21_distractor_3,0,True,4,3,8.359827041625977,8.359827041625977,0.0,0.0,0.7929999828338623,0.628000020980835,-0.16499996185302734,-0.01672499934809607,0.02344999869619214
e21_query_a_delete_closed,e21_distractor_3,0,True,5,4,14.35970401763916,14.35970401763916,0.0,0.0,0.9589999914169312,0.7940000295639038,-0.16499996185302734,0.02062499430030601,0.031249988600612018
e21_query_a_delete_closed,e21_reference_a,0,True,0,0,17.359695434570312,17.359695434570312,0.0,0.0,0.1340000033378601,0.1340000033378601,0.0,-0.02062499430030601,0.031249988600612018
e21_query_a_delete_closed,e21_reference_a,0,True,1,1,5.359889507293701,5.359889507293701,0.0,0.0,0.29899999499320984,0.29899999499320984,0.0,0.01649999558925644,0.022999991178512876
e21_query_a_delete_closed,e21_reference_a,0,True,2,2,3.359966993331909,3.359966993331909,0.0,0.0,0.46299999952316284,0.46299999952316284,0.0,0.05339998842550031,0.09679997685100063
e21_query_a_delete_closed,e21_reference_a,0,True,4,3,8.359827041625977,8.359827041625977,0.0,0.0,0.7929999828338623,0.628000020980835,-0.16499996185302734,-0.03734999364840208,0.06469998729680417
e21_query_a_delete_closed,e21_reference_a,0,True,5,4,14.35970401763916,14.35970401763916,0.0,0.0,0.9589999914169312,0.7940000295639038,-0.16499996185302734,0.0,0.0
e21_query_b_delete_closed,e21_distractor_1,0,True,0,0,8.359827041625977,8.359827041625977,0.0,0.0,0.13300000131130219,0.13300000131130219,0.0,0.09069997695179051,0.171399953903581
e21_query_b_delete_closed,e21_distractor_1,0,True,2,1,19.359695434570312,19.359695434570312,0.0,0.0,0.46399998664855957,0.29899999499320984,-0.16499999165534973,-0.04119999703855154,0.07239999407710308
e21_query_b_delete_closed,e21_distractor_1,0,True,4,3,17.359695434570312,17.359695434570312,0.0,0.0,0.7940000295639038,0.6290000081062317,-0.16500002145767212,-0.008200003475852702,0.0064000069517054035
e21_query_b_delete_closed,e21_distractor_1,0,True,5,4,3.359966993331909,3.359966993331909,0.0,0.0,0.9580000042915344,0.7929999828338623,-0.16500002145767212,0.008200003475852702,0.0064000069517054035
e21_query_b_delete_closed,e21_distractor_1,1,False,0,0,8.359827041625977,8.359827041625977,0.0,0.0,0.13300000131130219,0.13300000131130219,0.0,-0.01023449250851459,0.010468985017029179
e21_query_b_delete_closed,e21_distractor_1,1,False,1,2,5.359889507293701,5.359889507293701,0.0,0.0,0.29899999499320984,0.46399998664855957,0.16499999165534973,0.19208410980352847,0.37416821960705693
e21_query_b_delete_closed,e21_distractor_1,1,False,4,3,17.359695434570312,17.359695434570312,0.0,0.0,0.7940000295639038,0.6290000081062317,-0.16500002145767212,-0.026634492054796524,0.043268984109593046
e21_query_b_delete_closed,e21_distractor_1,1,False,5,4,3.359966993331909,3.359966993331909,0.0,0.0,0.9580000042915344,0.7929999828338623,-0.16500002145767212,0.01023449250851459,0.010468985017029179
e21_query_b_delete_closed,e21_reference_b,0,True,0,0,8.359827041625977,8.359827041625977,0.0,0.0,0.13300000131130219,0.13300000131130219,0.0,-0.02046898501702918,0.030937970034058355
e21_query_b_delete_closed,e21_reference_b,0,True,1,1,19.359695434570312,19.359695434570312,0.0,0.0,0.29899999499320984,0.29899999499320984,0.0,0.016849625639664134,0.023699251279328266
e21_query_b_delete_closed,e21_reference_b,0,True,2,2,5.359889507293701,5.359889507293701,0.0,0.0,0.46399998664855957,0.46399998664855957,0.0,0.05394342492463816,0.09788684984927633
e21_query_b_delete_closed,e21_reference_b,0,True,4,3,17.359695434570312,17.359695434570312,0.0,0.0,0.7940000295639038,0.6290000081062317,-0.16500002145767212,-0.036868984563311114,0.06373796912662223
e21_query_b_delete_closed,e21_reference_b,0,True,5,4,3.359966993331909,3.359966993331909,0.0,0.0,0.9580000042915344,0.7929999828338623,-0.16500002145767212,0.0,0.0
