front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
streaming,civ-08,joint,shuffle,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,0.7272727272727273,7.170681909794164,0.0,0.010892045454545455,0.011636363636363637,0.0945625,0.096
fixed,civ-08,joint,shuffle,0,11,9,7,1,0.1111111111111111,0.09090909090909091,0.1,0,0,0.0,0.0,0.6363636363636364,0.6363636363636364,0.006437876955700028,0.0,0.020330357142857143,0.018026785714285714,0.00275,0.0
oracle-boundary,civ-08,joint,shuffle,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,7.865723019235682e-05,0.0,0.0,0.0,0.055125,0.055125
streaming,civ-08,joint,shuffle,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,0.7272727272727273,7.168769792476587,0.0,0.010892045454545455,0.011522727272727273,0.0945625,0.096
fixed,civ-08,joint,shuffle,1,11,9,7,1,0.1111111111111111,0.09090909090909091,0.1,0,0,0.0,0.0,0.6363636363636364,0.6363636363636364,0.0029988469265695415,0.0,0.020330357142857143,0.018026785714285714,0.00275,0.0
oracle-boundary,civ-08,joint,shuffle,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,7.865723019235682e-05,0.0,0.0,0.0,0.055125,0.055125
streaming,civ-08,joint,ambiguous,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,0.7272727272727273,7.158945945938556,0.0,0.010892045454545455,0.011522727272727273,0.0945625,0.096
fixed,civ-08,joint,ambiguous,0,11,9,7,1,0.1111111111111111,0.09090909090909091,0.1,0,0,0.0,0.0,0.6363636363636364,0.6363636363636364,0.0029672523002288484,0.0,0.020330357142857143,0.018026785714285714,0.00275,0.0
oracle-boundary,civ-08,joint,ambiguous,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,7.98302191144169e-05,0.0,0.0,0.0,0.055125,0.055125
streaming,civ-08,joint,ambiguous,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,0.7272727272727273,7.158945945938556,0.0,0.010892045454545455,0.011522727272727273,0.0945625,0.096
fixed,civ-08,joint,ambiguous,1,11,9,7,1,0.1111111111111111,0.09090909090909091,0.1,0,0,0.0,0.0,0.6363636363636364,0.6363636363636364,0.0029672523002288484,0.0,0.020330357142857143,0.018026785714285714,0.00275,0.0
