model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,paired_success,paired_success_lower95,paired_success_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95
oracle-boundary/present,legato,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
oracle-boundary/recency,detached,intact,0.5,0.125,0.875,0.5,0.125,0.875,3.4789982477094417,0.9074304742549205,6.050566021163963,0.95245,0.23995000000000005,1.66495
oracle-boundary/recency,duration,intact,0.5,0.125,0.875,0.5,0.125,0.875,3.4789982477094417,0.9074304742549205,6.050566021163963,0.95245,0.23995000000000005,1.66495
oracle-boundary/recency,joint,ambiguous,0.5,0.5,0.5,0.0,0.0,0.0,3.4789982477094417,3.4789982477094417,3.4789982477094417,0.95245,0.95245,0.95245
oracle-boundary/recency,joint,intact,0.5,0.125,0.875,0.5,0.125,0.875,3.4789982477094417,0.9074304742549205,6.050566021163963,0.95245,0.23995000000000005,1.66495
oracle-boundary/recency,joint,removal,0.1875,0.0625,0.375,0.0,0.0,0.0,2.908814509069262,1.4392055548667675,4.839970545243265,0.9257312499999998,0.7179187499999999,1.1335437499999999
oracle-boundary/recency,joint,reset,0.1875,0.0625,0.375,0.0,0.0,0.0,2.908814509069262,1.4392055548667675,4.839970545243265,0.9257312499999998,0.7179187499999999,1.1335437499999999
oracle-boundary/recency,joint,shuffle,0.5,0.125,0.875,0.5,0.125,0.875,3.4789982477094417,0.9074304742549205,6.050566021163963,0.95245,0.23995000000000005,1.66495
oracle-boundary/recency,joint,swap,0.5,0.125,0.875,0.5,0.125,0.875,3.4789982477094417,0.9074304742549205,6.050566021163963,0.95245,0.23995000000000005,1.66495
oracle-boundary/recency,legato,intact,0.5,0.125,0.875,0.5,0.125,0.875,3.4789982477094417,0.9074304742549205,6.050566021163963,0.95245,0.23995000000000005,1.66495
oracle-boundary/reference,detached,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/reference,duration,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/reference,joint,ambiguous,0.5,0.5,0.5,0.0,0.0,0.0,0.69410764165507,0.6941076416550698,0.69410764165507,0.50000048,0.50000048,0.50000048
oracle-boundary/reference,joint,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/reference,joint,removal,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
oracle-boundary/reference,joint,reset,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
oracle-boundary/reference,joint,shuffle,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/reference,joint,swap,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/reference,legato,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/transition1,detached,intact,0.5,0.5,0.5,0.0,0.0,0.0,0.69410764165507,0.6941076416550698,0.69410764165507,0.50000048,0.50000048,0.5000004800000002
oracle-boundary/transition1,duration,intact,0.5,0.5,0.5,0.0,0.0,0.0,0.69410764165507,0.6941076416550698,0.69410764165507,0.50000048,0.50000048,0.5000004800000002
oracle-boundary/transition1,joint,ambiguous,0.5,0.5,0.5,0.0,0.0,0.0,0.69410764165507,0.6941076416550698,0.69410764165507,0.50000048,0.50000048,0.50000048
oracle-boundary/transition1,joint,intact,0.5,0.5,0.5,0.0,0.0,0.0,0.69410764165507,0.6941076416550698,0.69410764165507,0.50000048,0.50000048,0.5000004800000002
oracle-boundary/transition1,joint,removal,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
oracle-boundary/transition1,joint,reset,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
oracle-boundary/transition1,joint,shuffle,0.5,0.5,0.5,0.0,0.0,0.0,0.69410764165507,0.6941076416550698,0.69410764165507,0.50000048,0.50000048,0.5000004800000002
oracle-boundary/transition1,joint,swap,0.5,0.5,0.5,0.0,0.0,0.0,0.69410764165507,0.6941076416550698,0.69410764165507,0.50000048,0.50000048,0.5000004800000002
oracle-boundary/transition1,legato,intact,0.5,0.5,0.5,0.0,0.0,0.0,0.69410764165507,0.6941076416550698,0.69410764165507,0.50000048,0.50000048,0.5000004800000002
oracle-boundary/transition2,detached,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/transition2,duration,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/transition2,joint,ambiguous,0.5,0.5,0.5,0.0,0.0,0.0,0.69410764165507,0.6941076416550698,0.69410764165507,0.50000048,0.50000048,0.50000048
oracle-boundary/transition2,joint,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/transition2,joint,removal,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
oracle-boundary/transition2,joint,reset,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
oracle-boundary/transition2,joint,shuffle,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/transition2,joint,swap,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/transition2,legato,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/transition3,detached,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/transition3,duration,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/transition3,joint,ambiguous,0.5,0.5,0.5,0.0,0.0,0.0,0.69410764165507,0.6941076416550698,0.69410764165507,0.50000048,0.50000048,0.50000048
oracle-boundary/transition3,joint,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/transition3,joint,removal,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
oracle-boundary/transition3,joint,reset,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
oracle-boundary/transition3,joint,shuffle,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/transition3,joint,swap,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
oracle-boundary/transition3,legato,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
streaming/absolute,detached,intact,0.5,0.3125,0.6875,0.125,0.0,0.375,2.179654274396992,1.0038469253798272,3.695710361529844,0.60533644484375,0.4765161753125,0.7653754643750001
streaming/absolute,duration,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
streaming/absolute,joint,ambiguous,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
streaming/absolute,joint,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
streaming/absolute,joint,removal,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
streaming/absolute,joint,reset,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
streaming/absolute,joint,shuffle,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
streaming/absolute,joint,swap,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
streaming/absolute,legato,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
streaming/present,detached,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
streaming/present,duration,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
streaming/present,joint,ambiguous,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
streaming/present,joint,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
streaming/present,joint,removal,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
streaming/present,joint,reset,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
streaming/present,joint,shuffle,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
streaming/present,joint,swap,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
streaming/present,legato,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,3.853216419625498,1.3937159405354962,7.267840756603688,0.9372502925,0.7187190425,1.1557815425
streaming/recency,detached,intact,0.75,0.375,1.0,0.75,0.375,1.0,1.7646197320730943,0.05024121643674679,4.336187505527615,0.47745000000000004,0.0024500000000000632,1.18995
streaming/recency,duration,intact,0.25,0.0625,0.4375,0.0,0.0,0.0,3.384605507888713,1.889166059047768,5.113227940373003,1.000877734375,0.7303503906249998,1.2738171874999997
streaming/recency,joint,ambiguous,0.3125,0.125,0.4375,0.0,0.0,0.0,3.554186658516004,2.08457770431351,5.146180393435425,0.9505945312499999,0.77246953125,1.117215625
streaming/recency,joint,intact,0.3125,0.0625,0.5625,0.125,0.0,0.375,3.255098768747815,1.5478422115354387,5.016673654294527,0.896971484375,0.558905078125,1.1938464843749999
streaming/recency,joint,removal,0.1875,0.0625,0.375,0.0,0.0,0.0,2.908814509069262,1.4392055548667675,4.839970545243265,0.9257312499999998,0.7179187499999999,1.1335437499999999
streaming/recency,joint,reset,0.1875,0.0625,0.375,0.0,0.0,0.0,2.908814509069262,1.4392055548667675,4.839970545243265,0.9257312499999998,0.7179187499999999,1.1335437499999999
streaming/recency,joint,shuffle,0.375,0.125,0.625,0.125,0.0,0.375,2.826504139838728,1.1801920765849718,4.710463806102367,0.7782214843749999,0.47559453125,1.0511609374999997
streaming/recency,joint,swap,0.3125,0.0625,0.5625,0.125,0.0,0.375,3.255098768747815,1.5478422115354387,5.016673654294527,0.896971484375,0.558905078125,1.1938464843749999
