front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
fixed,ewr-08,joint,swap,1,11,10,8,1,0.1,0.09090909090909091,0.09523809523809523,1,0,0.09090909090909091,0.0,0.7272727272727273,0.7272727272727273,0.011820165848692795,0.0,0.0190234375,0.019953125000000002,0.00275,0.0
oracle-boundary,ewr-08,joint,swap,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00011118950762567214,0.0,0.0,0.0,0.055125,0.055125
repaired,ewr-08,joint,shuffle,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003498583573822314,0.0,0.009801136363636363,0.010181818181818183,0.0945625,0.096
streaming,ewr-08,joint,shuffle,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.6363636363636364,0.7272727272727273,2.4726670913656146,0.0,0.009801136363636363,0.010181818181818183,0.0945625,0.096
fixed,ewr-08,joint,shuffle,0,11,11,9,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,1,0,0.09090909090909091,0.0,0.7272727272727273,0.8181818181818182,0.055277190353292566,0.0,0.017895833333333333,0.02076388888888889,0.00275,0.0
oracle-boundary,ewr-08,joint,shuffle,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00011118950762567212,0.0,0.0,0.0,0.055125,0.055125
repaired,ewr-08,joint,shuffle,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.008296701942942332,0.0,0.010164772727272727,0.010431818181818183,0.0945625,0.096
streaming,ewr-08,joint,shuffle,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.6363636363636364,0.7272727272727273,2.4711058577313914,0.0,0.010164772727272727,0.010431818181818183,0.0945625,0.096
fixed,ewr-08,joint,shuffle,1,11,11,9,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,1,0,0.09090909090909091,0.0,0.7272727272727273,0.8181818181818182,0.05202131285646391,0.0,0.017895833333333333,0.02076388888888889,0.00275,0.0
oracle-boundary,ewr-08,joint,shuffle,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00011118950762567212,0.0,0.0,0.0,0.055125,0.055125
repaired,ewr-08,joint,ambiguous,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.008315631487229773,0.0,0.010164772727272727,0.010431818181818183,0.0945625,0.096
streaming,ewr-08,joint,ambiguous,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,0.7272727272727273,2.4906649250331676,0.0,0.010164772727272727,0.010431818181818183,0.0945625,0.096
fixed,ewr-08,joint,ambiguous,0,11,11,9,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,1,0,0.09090909090909091,0.0,0.7272727272727273,0.8181818181818182,0.052007680587554055,0.0,0.017895833333333333,0.02076388888888889,0.00275,0.0
oracle-boundary,ewr-08,joint,ambiguous,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00010617998589243253,0.0,0.0,0.0,0.055125,0.055125
repaired,ewr-08,joint,ambiguous,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.008315631487229773,0.0,0.010164772727272727,0.010431818181818183,0.0945625,0.096
streaming,ewr-08,joint,ambiguous,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,0.7272727272727273,2.4906649250331676,0.0,0.010164772727272727,0.010431818181818183,0.0945625,0.096
fixed,ewr-08,joint,ambiguous,1,11,11,9,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,1,0,0.09090909090909091,0.0,0.7272727272727273,0.8181818181818182,0.052007680587554055,0.0,0.017895833333333333,0.02076388888888889,0.00275,0.0
