group,cell,condition,variant,whole_duration_s,support_duration_s,available,cycles,extra_processing_seconds
ewr-08,joint,removal,0,0.076,0.044,1,7.683181361595909,0.000700458
ewr-08,joint,removal,1,0.108,0.076,1,23.645893847525535,0.000614
ewr-08,joint,removal,1,0.104,0.072,1,16.782186164524404,0.000203375
ewr-08,joint,removal,1,0.064,0.032,1,5.588129987876728,0.000622458
ewr-08,joint,removal,1,0.108,0.076,1,23.64602442426788,0.000775791
ewr-08,joint,removal,1,0.104,0.072,1,15.840290429060778,0.000371167
ewr-08,joint,removal,1,0.064,0.032,1,5.587225119667623,0.00083025
ewr-08,joint,removal,1,0.108,0.076,1,23.645950767106175,0.000210042
ewr-08,joint,removal,1,0.108,0.076,1,17.714649534527812,0.000412541
ewr-08,joint,removal,1,0.076,0.044,1,7.683181361595909,0.000718542
ewr-08,joint,swap,0,0.108,0.076,1,23.645893847525535,0.000645708
ewr-08,joint,swap,0,0.104,0.072,1,16.782186164524404,0.000208625
ewr-08,joint,swap,0,0.084,0.052,1,9.080384383831174,0.000678917
ewr-08,joint,swap,0,0.084,0.052,1,12.120153651002214,0.000212
ewr-08,joint,swap,0,0.108,0.076,1,23.64602442426788,0.000834125
ewr-08,joint,swap,0,0.104,0.072,1,15.840290429060778,0.000381375
ewr-08,joint,swap,0,0.08,0.048,1,8.38121395223498,0.000192333
ewr-08,joint,swap,0,0.076,0.044,1,5.755976640791292,0.000511
ewr-08,joint,swap,0,0.108,0.076,1,23.645950767106175,0.000213083
ewr-08,joint,swap,0,0.108,0.076,1,17.714649534527812,0.000422125
ewr-08,joint,swap,0,0.076,0.044,1,7.683181361595909,0.000765042
ewr-08,joint,swap,1,0.108,0.076,1,23.645893847525535,0.000619625
ewr-08,joint,swap,1,0.104,0.072,1,16.782186164524404,0.000208459
ewr-08,joint,swap,1,0.084,0.052,1,9.080384383831174,0.000634333
ewr-08,joint,swap,1,0.076,0.044,1,5.756894509420806,0.000278792
ewr-08,joint,swap,1,0.108,0.076,1,23.64602442426788,0.000784584
ewr-08,joint,swap,1,0.104,0.072,1,15.840290429060778,0.000368292
ewr-08,joint,swap,1,0.084,0.052,1,9.028062850943918,0.000150667
ewr-08,joint,swap,1,0.084,0.052,1,12.120594569497175,0.000375833
ewr-08,joint,swap,1,0.108,0.076,1,23.645950767106175,0.000207209
ewr-08,joint,swap,1,0.108,0.076,1,17.714649534527812,0.000403375
ewr-08,joint,swap,1,0.076,0.044,1,7.683181361595909,0.00069425
ewr-08,joint,shuffle,0,0.108,0.076,1,23.645893847525535,0.0006105
ewr-08,joint,shuffle,0,0.104,0.072,1,15.839916087605683,0.0002035
ewr-08,joint,shuffle,0,0.084,0.052,1,9.080384383831174,0.000681375
ewr-08,joint,shuffle,0,0.084,0.052,1,12.120153651002214,0.000193
ewr-08,joint,shuffle,0,0.108,0.076,1,23.64602442426788,0.000786625
ewr-08,joint,shuffle,0,0.1,0.068,1,15.84955794096343,0.000411375
