model,group,cell,condition,accuracy,paired_success,log_loss,brier
oracle-boundary/transition3,ewr-08,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
repaired/absolute,ewr-09,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/present,ewr-09,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired/recency,ewr-09,detached,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired/reference,ewr-09,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/transition1,ewr-09,detached,intact,0.0,0.0,0.6979159424103902,0.5038050995175158
repaired/transition2,ewr-09,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/transition3,ewr-09,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/absolute,ewr-09,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/present,ewr-09,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/recency,ewr-09,detached,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
streaming/reference,ewr-09,detached,intact,0.5,0.0,1.0406311875957452,0.5310631362500001
streaming/transition1,ewr-09,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition2,ewr-09,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition3,ewr-09,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/absolute,ewr-09,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/present,ewr-09,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/recency,ewr-09,detached,intact,0.0,0.0,4.515052160836625,1.4734656249999998
fixed/reference,ewr-09,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition1,ewr-09,detached,intact,0.0,0.0,6.450030089543906,1.53006313625
fixed/transition2,ewr-09,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition3,ewr-09,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/absolute,ewr-09,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/present,ewr-09,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/recency,ewr-09,detached,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
oracle-boundary/reference,ewr-09,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition1,ewr-09,detached,intact,0.5,0.0,0.6941076416550698,0.5000004800000002
oracle-boundary/transition2,ewr-09,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition3,ewr-09,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/absolute,ewr-09,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/present,ewr-09,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
repaired/recency,ewr-09,legato,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired/reference,ewr-09,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/transition1,ewr-09,legato,intact,0.0,0.0,0.7011159207063609,0.507001893630846
repaired/transition2,ewr-09,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/transition3,ewr-09,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/absolute,ewr-09,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/present,ewr-09,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/recency,ewr-09,legato,intact,0.0,0.0,4.515052160836625,1.4734656249999998
streaming/reference,ewr-09,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition1,ewr-09,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition2,ewr-09,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition3,ewr-09,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/absolute,ewr-09,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/present,ewr-09,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
