query_id,reference_id,path_index,used_for_support,role,correspondence_order,reference_event,query_event,reference_onset_s,reference_offset_s,reference_pitch_semitones,query_onset_s,query_offset_s,query_pitch_semitones,mapped_reference_onset_s,mapped_reference_offset_s,mapped_reference_pitch_semitones,pitch_residual_semitones,timing_residual_s,absolute_pitch_change_semitones,onset_change_s
e14_query_a_merged,e14_distractor_0,0,True,maximum_candidate,4,6,5,1.1239999532699585,1.215999960899353,6.746652603149414,1.1239999532699585,1.215999960899353,6.746652603149414,1.1239999532699585,1.215999960899353,6.746652603149414,0.0,0.0,0.0,0.0
e14_query_a_merged,e14_distractor_0,0,True,maximum_candidate,5,7,6,1.2879999876022339,1.38100004196167,-1.2537909746170044,1.2879999876022339,1.38100004196167,-1.2537909746170044,1.2879999876022339,1.38100004196167,-1.2537909746170044,0.0,0.0,0.0,0.0
e14_query_a_merged,e14_reference_a,0,True,true_source,0,0,0,0.1340000033378601,0.22499999403953552,2.7465507984161377,0.1340000033378601,0.22499999403953552,2.7465507984161377,0.1340000033378601,0.22499999403953552,2.7465507984161377,0.0,0.0,0.0,0.0
e14_query_a_merged,e14_reference_a,0,True,true_source,1,1,1,0.29899999499320984,0.38999998569488525,4.746746063232422,0.29899999499320984,0.38999998569488525,4.746746063232422,0.29899999499320984,0.38999998569488525,4.746746063232422,0.0,0.0,0.0,0.0
e14_query_a_merged,e14_reference_a,0,True,true_source,2,2,2,0.46399998664855957,0.5559999942779541,13.746626853942871,0.46399998664855957,0.5559999942779541,13.746626853942871,0.46399998664855957,0.5559999942779541,13.746626853942871,0.0,0.0,0.0,0.0
e14_query_a_merged,e14_reference_a,0,True,true_source,3,5,4,0.9580000042915344,1.0509999990463257,5.746696472167969,0.9580000042915344,1.0509999990463257,5.746696472167969,0.9580000042915344,1.0509999990463257,5.746696472167969,0.0,0.0,0.0,0.0
e14_query_a_merged,e14_reference_a,0,True,true_source,4,6,5,1.1239999532699585,1.215999960899353,6.746652603149414,1.1239999532699585,1.215999960899353,6.746652603149414,1.1239999532699585,1.215999960899353,6.746652603149414,0.0,0.0,0.0,0.0
e14_query_a_merged,e14_reference_a,0,True,true_source,5,7,6,1.2879999876022339,1.38100004196167,-1.2537909746170044,1.2879999876022339,1.38100004196167,-1.2537909746170044,1.2879999876022339,1.38100004196167,-1.2537909746170044,0.0,0.0,0.0,0.0
e16_query_a_delete_two,e16_distractor_1,0,True,maximum_candidate,0,2,0,0.46399998664855957,0.5550000071525574,8.540674209594727,0.1340000033378601,0.22499999403953552,8.540674209594727,0.13400000333786005,0.2250000073052031,8.540674209594727,0.0,5.551115123125783e-17,0.0,-0.32999998331069946
e16_query_a_delete_two,e16_distractor_1,0,True,maximum_candidate,1,3,1,0.628000020980835,0.7210000157356262,6.540684700012207,0.2980000078678131,0.39100000262260437,6.540684700012207,0.2980000078678131,0.3909999857225114,6.540684700012207,0.0,0.0,0.0,-0.33000001311302185
