query_id,event_index,frame_order_0_based,original_frame_index,event_onset_s,event_offset_s,time_after_event_onset_s,inside_frozen_18ms_interior,frame_time_s,frame_rms,frame_energy_dbfs,frame_voiced,frame_pitch_hz,frame_spectral_peak_hz,frame_phase_refined,frame_spectral_centroid_hz,pitch_status,spectral_peak_status,pitch_semitones_re_220hz,spectral_peak_semitones_re_220hz
e08_query_a_merged,1,11,69,0.29899999499320984,0.4869999885559082,0.0559999942779541,True,0.35499998927116394,0.22233839333057404,-13.059710502624512,True,425.8233337402344,425.81378173828125,True,529.4066772460938,finite_positive,finite_positive,11.43301779869219,11.432629446641343
e08_query_a_merged,1,12,70,0.29899999499320984,0.4869999885559082,0.06100001931190491,True,0.36000001430511475,0.21937988698482513,-13.176063537597656,True,425.8160705566406,425.8023376464844,True,529.4036254882812,finite_positive,finite_positive,11.432722503038207,11.432164157153988
e08_query_a_merged,1,13,71,0.29899999499320984,0.4869999885559082,0.06600001454353333,True,0.36500000953674316,0.21772228181362152,-13.241942405700684,True,425.9079895019531,425.80194091796875,True,529.40380859375,finite_positive,finite_positive,11.436459234591528,11.43214802689415
e08_query_a_merged,1,14,72,0.29899999499320984,0.4869999885559082,0.07100000977516174,True,0.3700000047683716,0.2087647169828415,-13.606858253479004,True,425.91326904296875,425.80950927734375,True,529.419677734375,finite_positive,finite_positive,11.436673836447916,11.432455740028889
e08_query_a_merged,1,15,73,0.29899999499320984,0.4869999885559082,0.07600000500679016,True,0.375,0.18746982514858246,-14.541372299194336,True,426.0115966796875,425.8031005859375,True,529.4135131835938,finite_positive,finite_positive,11.440670154908776,11.432195176842198
e08_query_a_merged,1,16,74,0.29899999499320984,0.4869999885559082,0.08100000023841858,True,0.3799999952316284,0.15425653755664825,-16.23512840270996,True,426.6468811035156,425.7920227050781,True,529.4122314453125,finite_positive,finite_positive,11.466467734069521,11.431744765513814
e08_query_a_merged,1,17,75,0.29899999499320984,0.4869999885559082,0.085999995470047,True,0.38499999046325684,0.10956034809350967,-19.206932067871094,True,428.7485656738281,425.5652770996094,True,529.4146728515625,finite_positive,finite_positive,11.551539854193884,11.422523026955032
e08_query_a_merged,1,18,76,0.29899999499320984,0.4869999885559082,0.09099999070167542,True,0.38999998569488525,0.06915977597236633,-23.20292854309082,False,nan,nan,False,514.9140014648438,nan,nan,,
e08_query_a_merged,1,19,77,0.29899999499320984,0.4869999885559082,0.09600001573562622,True,0.39500001072883606,0.08865959197282791,-21.04548454284668,False,nan,nan,False,337.6195068359375,nan,nan,,
e08_query_a_merged,1,20,78,0.29899999499320984,0.4869999885559082,0.10100001096725464,True,0.4000000059604645,0.1407926082611084,-17.02840232849121,True,274.90972900390625,268.1258239746094,True,333.4956970214844,finite_positive,finite_positive,3.8574532885456208,3.4248798287976068
