model,group,cell,condition,accuracy,paired_success,log_loss,brier,entropy,unknown_mass,confidence
map/transition1,cea-16,duration,intact,1.0,1.0,0.6699532021428798,0.4758739317124516,0.7035250628017196,1.9999999999999998e-05,0.5117347237100452
map/transition2,cea-16,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/transition3,cea-16,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
mixture/absolute,cea-16,duration,intact,1.0,1.0,0.578256741207072,0.3529578386196177,0.8724826013260623,0.3995640536374928,0.5608752664473887
mixture/present,cea-16,duration,intact,0.0,0.0,11.329857596112506,1.27208465321751,1.4323931430746124,0.3995640536374928,0.3995640536374928
mixture/recency,cea-16,duration,intact,0.0,0.0,7.41783459068436,1.4850091283960376,0.9002542217355336,0.400152492633708,0.5710260055108545
mixture/reference,cea-16,duration,intact,1.0,1.0,0.578256741207072,0.3529578386196177,0.8724826013260623,0.3995640536374928,0.5608752664473887
mixture/transition1,cea-16,duration,intact,0.0,0.0,1.1800325138451027,0.7251433361825831,1.0951227475036833,0.3995640536374928,0.3995640536374928
mixture/transition2,cea-16,duration,intact,1.0,1.0,0.578256741207072,0.3529578386196177,0.8724826013260623,0.3995640536374928,0.5608752664473887
mixture/transition3,cea-16,duration,intact,1.0,1.0,0.578256741207072,0.3529578386196177,0.8724826013260623,0.3995640536374928,0.5608752664473887
repaired/absolute,cea-16,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/present,cea-16,duration,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
repaired/recency,cea-16,duration,intact,0.0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
repaired/reference,cea-16,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/transition1,cea-16,duration,intact,0.0,0.0,0.7032670424687781,0.5091507937794957,0.7037867596551004,1.9999999999999998e-05,0.5040744142010332
repaired/transition2,cea-16,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/transition3,cea-16,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
streaming/absolute,cea-16,duration,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/present,cea-16,duration,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/recency,cea-16,duration,intact,0.0,0.0,6.907755278982137,1.592215625,0.9738837498905897,0.001,0.654125
