model,group,cell,condition,variant,accuracy,log_loss,brier,entropy,unknown_mass,confidence
repaired/absolute,cea-16,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
repaired/present,cea-16,legato,intact,0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
repaired/recency,cea-16,legato,intact,0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
repaired/reference,cea-16,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
repaired/transition1,cea-16,legato,intact,0,1.0,0.6875743920768873,0.4934735750596815,0.7038068243024282,1.9999999999999998e-05,0.5027941726768772
repaired/transition2,cea-16,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
repaired/transition3,cea-16,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
streaming/absolute,cea-16,legato,intact,0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/present,cea-16,legato,intact,0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/recency,cea-16,legato,intact,0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
streaming/reference,cea-16,legato,intact,0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition1,cea-16,legato,intact,0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition2,cea-16,legato,intact,0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition3,cea-16,legato,intact,0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/absolute,cea-16,legato,intact,0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/present,cea-16,legato,intact,0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/recency,cea-16,legato,intact,0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
fixed/reference,cea-16,legato,intact,0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition1,cea-16,legato,intact,0,0.0,10.819778284410283,1.99800098,0.011582902361779817,2e-05,0.99902
fixed/transition2,cea-16,legato,intact,0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition3,cea-16,legato,intact,0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/absolute,cea-16,legato,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
oracle-boundary/present,cea-16,legato,intact,0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
