model,cell,condition,bin,count,mean_confidence,accuracy
mixture/recency,duration,intact,6,7,0.6407245106545327,0.42857142857142855
mixture/recency,duration,intact,7,7,0.7822507610783527,0.5714285714285714
mixture/recency,duration,intact,8,12,0.8650979037910201,0.3333333333333333
mixture/recency,duration,intact,9,17,0.9827058823529411,0.17647058823529413
mixture/recency,joint,ambiguous,5,4,0.5332878865316316,0.25
mixture/recency,joint,ambiguous,6,10,0.6658914663313016,0.5
mixture/recency,joint,ambiguous,7,8,0.7699792099680789,0.5
mixture/recency,joint,ambiguous,8,10,0.8672585127184194,0.5
mixture/recency,joint,ambiguous,9,16,0.9632499999999999,0.375
mixture/recency,joint,intact,4,1,0.49835621047064277,0.0
mixture/recency,joint,intact,5,7,0.5294608721492403,0.42857142857142855
mixture/recency,joint,intact,6,12,0.6602702748926238,0.3333333333333333
mixture/recency,joint,intact,7,5,0.7793422277211322,0.8
mixture/recency,joint,intact,8,12,0.8668331549918825,0.5
mixture/recency,joint,intact,9,11,0.9866363636363636,0.2727272727272727
mixture/recency,joint,removal,2,16,0.2837984514735647,0.125
mixture/recency,joint,removal,3,26,0.33376299904808565,0.23076923076923078
mixture/recency,joint,removal,9,6,1.0,0.0
mixture/recency,joint,reset,2,2,0.2928133659680811,0.0
mixture/recency,joint,reset,3,44,0.3433282988598657,0.20454545454545456
mixture/recency,joint,reset,9,2,1.0,0.0
mixture/recency,joint,shuffle,3,2,0.37003303412527977,0.0
mixture/recency,joint,shuffle,4,2,0.4156095838931252,0.0
mixture/recency,joint,shuffle,5,5,0.5449116452443562,0.8
mixture/recency,joint,shuffle,6,7,0.6456824021335423,0.42857142857142855
mixture/recency,joint,shuffle,7,7,0.7346260673595876,0.7142857142857143
mixture/recency,joint,shuffle,8,11,0.8624228658232543,0.5454545454545454
mixture/recency,joint,shuffle,9,14,0.9720000000000002,0.14285714285714285
mixture/recency,joint,swap,4,1,0.49835621047064277,0.0
mixture/recency,joint,swap,5,7,0.5294608721492403,0.42857142857142855
mixture/recency,joint,swap,6,12,0.6602702748926238,0.3333333333333333
mixture/recency,joint,swap,7,5,0.7793422277211322,0.8
mixture/recency,joint,swap,8,12,0.8668331549918825,0.5
mixture/recency,joint,swap,9,11,0.9866363636363636,0.2727272727272727
mixture/recency,legato,intact,5,8,0.57675463584873,0.625
mixture/recency,legato,intact,6,5,0.622477613026476,0.6
mixture/recency,legato,intact,7,6,0.7424262386064099,0.16666666666666666
mixture/recency,legato,intact,8,15,0.8601445263641803,0.4666666666666667
mixture/recency,legato,intact,9,14,0.9790000000000001,0.2857142857142857
mixture/reference,detached,intact,8,3,0.844428351964503,1.0
mixture/reference,detached,intact,9,45,0.9883639853035595,0.8666666666666667
mixture/reference,duration,intact,4,1,0.47395592219506105,1.0
mixture/reference,duration,intact,5,5,0.5547059006522467,1.0
mixture/reference,duration,intact,6,4,0.6319823606755746,1.0
mixture/reference,duration,intact,7,4,0.748102295420553,1.0
mixture/reference,duration,intact,8,13,0.8573708181003645,1.0
mixture/reference,duration,intact,9,21,0.9867107231944044,0.47619047619047616
mixture/reference,joint,ambiguous,3,8,0.3671027726972166,0.5
mixture/reference,joint,ambiguous,4,18,0.4417138572833916,0.4444444444444444
mixture/reference,joint,ambiguous,5,18,0.5125824579684787,0.4444444444444444
mixture/reference,joint,ambiguous,9,4,1.0,0.0
mixture/reference,joint,intact,5,6,0.5346718803396019,1.0
mixture/reference,joint,intact,6,8,0.6576248866539866,1.0
mixture/reference,joint,intact,7,8,0.7316471062400507,1.0
mixture/reference,joint,intact,8,8,0.8454594483854825,1.0
mixture/reference,joint,intact,9,18,0.9742940306735272,0.5555555555555556
mixture/reference,joint,removal,2,10,0.2899886906081131,0.2
mixture/reference,joint,removal,3,32,0.3394815303279819,0.1875
mixture/reference,joint,removal,9,6,1.0,0.0
mixture/reference,joint,reset,3,46,0.35774218943900055,0.1956521739130435
mixture/reference,joint,reset,9,2,1.0,0.0
mixture/reference,joint,shuffle,5,2,0.5137264638868269,1.0
mixture/reference,joint,shuffle,6,10,0.6434524827088265,1.0
mixture/reference,joint,shuffle,7,8,0.755577425319127,1.0
mixture/reference,joint,shuffle,8,9,0.8519688638131867,1.0
mixture/reference,joint,shuffle,9,19,0.9825248268202138,0.6842105263157895
