group,cell,condition,variant,whole_duration_s,support_duration_s,available,cycles,extra_processing_seconds
cea-16,joint,ambiguous,0,0.112,0.08,1,20.93039624545723,0.000207458
cea-16,joint,ambiguous,0,0.072,0.04,1,7.399855138454614,0.000542
cea-16,joint,ambiguous,1,0.096,0.064,1,19.91255494969883,0.000707959
cea-16,joint,ambiguous,1,0.112,0.08,1,20.930615612184535,0.000214292
cea-16,joint,ambiguous,1,0.088,0.056,1,10.360521242043397,0.000593625
cea-16,joint,ambiguous,1,0.08,0.048,1,7.467014871356489,0.000194542
cea-16,joint,ambiguous,1,0.1,0.068,1,21.156570393546875,0.000812458
cea-16,joint,ambiguous,1,0.108,0.076,1,19.88367624927593,0.000337333
cea-16,joint,ambiguous,1,0.088,0.056,1,10.359828673052135,0.000729916
cea-16,joint,ambiguous,1,0.084,0.052,1,11.439865389675234,0.000284625
cea-16,joint,ambiguous,1,0.112,0.08,1,24.89047867011421,0.000724084
cea-16,joint,ambiguous,1,0.112,0.08,1,20.93039624545723,0.000213083
cea-16,joint,ambiguous,1,0.072,0.04,1,7.399855138454614,0.000539959
cea-17,detached,intact,0,0.1,0.068,1,21.156615016772783,0.000738209
cea-17,detached,intact,0,0.1,0.068,1,26.655230574714405,0.000352833
cea-17,detached,intact,0,0.092,0.06,1,29.633709022563046,0.000776958
cea-17,detached,intact,0,0.092,0.06,1,37.334148626528986,0.000163166
cea-17,detached,intact,0,0.1,0.068,1,21.156776732444133,0.000164209
cea-17,detached,intact,0,0.088,0.056,1,24.640327655269466,0.000612542
cea-17,detached,intact,0,0.104,0.072,1,35.582481791789355,0.000174333
cea-17,detached,intact,0,0.088,0.056,1,21.95210886202549,0.000330292
cea-17,detached,intact,0,0.1,0.068,1,21.156781756387186,0.00025925
cea-17,detached,intact,0,0.092,0.06,1,26.400533643159513,0.00067925
cea-17,detached,intact,0,0.096,0.064,1,31.609356238842146,0.000724291
cea-17,detached,intact,1,0.1,0.068,1,21.156615016772783,0.000737041
cea-17,detached,intact,1,0.1,0.068,1,26.655230574714405,0.000355375
cea-17,detached,intact,1,0.092,0.06,1,29.633709022563046,0.0007395
cea-17,detached,intact,1,0.088,0.056,1,21.95203206130631,0.000206958
cea-17,detached,intact,1,0.1,0.068,1,21.156776732444133,0.000168708
cea-17,detached,intact,1,0.088,0.056,1,24.640327655269466,0.000632875
cea-17,detached,intact,1,0.1,0.068,1,33.584168048412074,0.00022875
cea-17,detached,intact,1,0.096,0.064,1,39.82293066946326,0.000300583
cea-17,detached,intact,1,0.1,0.068,1,21.156781756387186,0.000259458
cea-17,detached,intact,1,0.092,0.06,1,26.400533643159513,0.000682417
cea-17,detached,intact,1,0.096,0.064,1,31.609356238842146,0.000736458
cea-17,legato,intact,0,0.108,0.076,1,23.645756488815696,0.000652166
cea-17,legato,intact,0,0.096,0.064,1,25.087650185818973,0.000301041
cea-17,legato,intact,0,0.092,0.06,1,29.633875433202387,0.000736875
cea-17,legato,intact,0,0.096,0.064,1,39.822953295266316,0.000918542
