front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
map,cea-34,joint,reset,1,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.012225114631932618,0.0,0.009312500000000001,0.009541666666666665,0.1049375,0.096
mixture,cea-34,joint,reset,1,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.012225114631932618,0.0,0.009312500000000001,0.009541666666666665,0.1049375,0.096
repaired,cea-34,joint,reset,1,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0002855778244542269,0.0,0.009312500000000001,0.009541666666666665,0.1049375,0.096
streaming,cea-34,joint,reset,1,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.113887024054326,0.0,0.009312500000000001,0.009541666666666665,0.1049375,0.096
fixed,cea-34,joint,reset,1,3,6,2,1,0.16666666666666666,0.3333333333333333,0.2222222222222222,3,0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.00037573843940919005,0.0,0.0165625,0.016375,-0.0096875,0.0
oracle-boundary,cea-34,joint,reset,1,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003300022653185408,0.0,0.0,0.0,0.0543125,0.0543125
map,cea-34,joint,removal,0,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.004587619955946131,0.0,0.008145833333333333,0.008805555555555556,0.1049375,0.096
mixture,cea-34,joint,removal,0,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.004587619955946131,0.0,0.008145833333333333,0.008805555555555556,0.1049375,0.096
repaired,cea-34,joint,removal,0,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.000331337288255382,0.0,0.008145833333333333,0.008805555555555556,0.1049375,0.096
streaming,cea-34,joint,removal,0,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.11956318939749463,0.0,0.008145833333333333,0.008805555555555556,0.1049375,0.096
fixed,cea-34,joint,removal,0,9,15,8,1,0.06666666666666667,0.1111111111111111,0.08333333333333333,7,1,0.7777777777777778,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.0706348967317898,0.0,0.02228125,0.015953125,0.00775,0.0
