model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,paired_success,paired_success_lower95,paired_success_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95,entropy,entropy_lower95,entropy_upper95,unknown_mass,unknown_mass_lower95,unknown_mass_upper95,confidence,confidence_lower95,confidence_upper95
fixed/present,joint,ambiguous,0.20833333333333334,0.10416666666666667,0.3125,0.0,0.0,0.0,5.628173770543686,3.670132165187623,7.586215375899751,0.9684690424999999,0.8227815425,1.1037502925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/present,joint,intact,0.20833333333333334,0.10416666666666667,0.3125,0.0,0.0,0.0,5.628173770543686,3.670132165187623,7.586215375899751,0.9684690424999999,0.8227815425,1.1037502925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/present,joint,removal,0.20833333333333334,0.10416666666666667,0.3125,0.0,0.0,0.0,5.628173770543686,3.670132165187623,7.586215375899751,0.9684690424999999,0.8227815425,1.1037502925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/present,joint,reset,0.20833333333333334,0.10416666666666667,0.3125,0.0,0.0,0.0,5.628173770543686,3.670132165187623,7.586215375899751,0.9684690424999999,0.8227815425,1.1037502925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/present,joint,shuffle,0.20833333333333334,0.10416666666666667,0.3125,0.0,0.0,0.0,5.628173770543686,3.670132165187623,7.586215375899751,0.9684690424999999,0.8227815425,1.1037502925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/present,joint,swap,0.20833333333333334,0.10416666666666667,0.3125,0.0,0.0,0.0,5.628173770543686,3.670132165187623,7.586215375899751,0.9684690424999999,0.8227815425,1.1037502925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/present,legato,intact,0.20833333333333334,0.10416666666666667,0.3125,0.0,0.0,0.0,5.628173770543686,3.670132165187623,7.586215375899751,0.9684690424999999,0.8227815425,1.1037502925,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/recency,detached,intact,0.2916666666666667,0.125,0.4791666666666667,0.25,0.08333333333333333,0.4166666666666667,4.928044474192553,3.662658050918113,6.050566021163963,1.320685507007205,0.9784752205488717,1.6140483072916665,0.4858293624491313,0.3878919717176115,0.6082511008635311,0.001,0.001,0.001,0.9011825892477123,0.839333630914379,0.9506617559143788
fixed/recency,duration,intact,0.125,0.041666666666666664,0.20833333333333334,0.0,0.0,0.0,5.143806407294101,4.025950200472057,6.12117172395444,1.408338671875,1.1781986979166665,1.6301908854166662,0.9004307068419498,0.6800715776960303,1.1452741836707492,0.001,0.001,0.001,0.691234375,0.5675364583333332,0.8025625
fixed/recency,joint,ambiguous,0.14583333333333334,0.0625,0.22916666666666666,0.0,0.0,0.0,5.100637494247135,4.064371141236375,6.0348338978605085,1.4124825520833333,1.19254765625,1.6247481770833332,0.8269776637933101,0.5821341869645105,1.0718211406221094,0.001,0.001,0.001,0.72834375,0.6046458333333332,0.8520416666666666
fixed/recency,joint,intact,0.14583333333333334,0.0625,0.22916666666666666,0.0,0.0,0.0,5.000941530991072,3.91764407233651,5.978306847651411,1.3816817708333333,1.146593880208333,1.6099044270833334,0.8759463591590698,0.6555872300131503,1.0963054883049894,0.001,0.001,0.001,0.7036041666666666,0.5922760416666666,0.8149322916666666
fixed/recency,joint,removal,0.08333333333333333,0.020833333333333332,0.16666666666666666,0.0,0.0,0.0,5.329840196644096,4.287337664895176,6.2640366002574694,1.443778125,1.2315124999999998,1.6461479166666664,0.9738837498905898,0.7290402730617901,1.2187272267193892,0.001,0.001,0.001,0.654125,0.5304270833333332,0.7778229166666666
