kind,model,group,cell,condition,accuracy,paired_success,log_loss,brier,target_quantization_error
acoustic,present,cmr-09,joint,intact,0.0,0.0,10.819778284410283,1.171531401875001,3.715719646635307e-06
acoustic,recency,cmr-09,joint,intact,0.0,0.0,6.907755278982137,1.1550671874999983,3.715719646635307e-06
acoustic,reference,cmr-09,joint,intact,0.0,0.0,10.819778284410283,1.9980009800000011,3.715719646635307e-06
acoustic,retrieval_absolute,cmr-09,joint,intact,0.0,0.0,10.819778284410283,1.171531401875001,3.715719646635307e-06
acoustic,transition,cmr-09,joint,intact,0.0,0.0,10.819778284410283,1.171531401875001,3.715719646635307e-06
oracle,present,cmr-09,joint,intact,0.0,0.0,1.6748701661650265,0.796906401875001,0.0
oracle,recency,cmr-09,joint,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,transition,cmr-09,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,retrieval_absolute,cmr-09,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,reference,cmr-09,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,candidate,cmr-09,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
acoustic,candidate,cmr-09,joint,reset,0.0,0.0,10.819778284410283,1.171531401875001,3.715719646635307e-06
acoustic,present,cmr-09,joint,reset,0.0,0.0,10.819778284410283,1.171531401875001,3.715719646635307e-06
acoustic,recency,cmr-09,joint,reset,0.0,0.0,6.907755278982137,1.1550671874999983,3.715719646635307e-06
acoustic,reference,cmr-09,joint,reset,0.0,0.0,10.819778284410283,1.3118752925000008,3.715719646635307e-06
acoustic,retrieval_absolute,cmr-09,joint,reset,0.0,0.0,10.819778284410283,1.171531401875001,3.715719646635307e-06
acoustic,transition,cmr-09,joint,reset,0.0,0.0,10.819778284410283,1.171531401875001,3.715719646635307e-06
oracle,present,cmr-09,joint,reset,0.0,0.0,1.6748701661650265,0.796906401875001,0.0
oracle,recency,cmr-09,joint,reset,0.0,0.0,1.7196713928338012,0.7988171875000005,0.0
oracle,transition,cmr-09,joint,reset,0.0,0.0,1.6748701661650265,0.796906401875001,0.0
oracle,retrieval_absolute,cmr-09,joint,reset,0.0,0.0,1.6748701661650265,0.796906401875001,0.0
oracle,reference,cmr-09,joint,reset,0.0,0.0,10.819778284410283,1.3118752925000006,0.0
oracle,candidate,cmr-09,joint,reset,0.0,0.0,1.6748701661650265,0.796906401875001,0.0
acoustic,candidate,cmr-09,joint,removal,0.0,0.0,10.819778284410283,1.171531401875001,3.715719646635307e-06
acoustic,present,cmr-09,joint,removal,0.0,0.0,10.819778284410283,1.171531401875001,3.715719646635307e-06
acoustic,recency,cmr-09,joint,removal,0.0,0.0,6.907755278982137,1.1550671874999983,3.715719646635307e-06
acoustic,reference,cmr-09,joint,removal,0.0,0.0,10.819778284410283,1.3118752925000008,3.715719646635307e-06
acoustic,retrieval_absolute,cmr-09,joint,removal,0.0,0.0,10.819778284410283,1.171531401875001,3.715719646635307e-06
acoustic,transition,cmr-09,joint,removal,0.0,0.0,10.819778284410283,1.171531401875001,3.715719646635307e-06
oracle,present,cmr-09,joint,removal,0.0,0.0,1.6748701661650265,0.796906401875001,0.0
oracle,recency,cmr-09,joint,removal,0.0,0.0,1.7196713928338012,0.7988171875000005,0.0
oracle,transition,cmr-09,joint,removal,0.0,0.0,1.6748701661650265,0.796906401875001,0.0
oracle,retrieval_absolute,cmr-09,joint,removal,0.0,0.0,1.6748701661650265,0.796906401875001,0.0
oracle,reference,cmr-09,joint,removal,0.0,0.0,10.819778284410283,1.3118752925000006,0.0
oracle,candidate,cmr-09,joint,removal,0.0,0.0,1.6748701661650265,0.796906401875001,0.0
acoustic,candidate,cmr-09,joint,swap,0.0,0.0,10.819778284410283,1.9980009800000011,3.715719646635307e-06
acoustic,present,cmr-09,joint,swap,0.0,0.0,10.819778284410283,1.171531401875001,3.715719646635307e-06
