split,length,family,n_available,feature,mean_raw_feature,mean_logit_contribution,frozen_intercept,mean_reconstructed_logit
held_out,4,delete_rest,8,unreliable_query_fraction,0.0,0.0814702909182707,-7.356364000313694,3.5004254872053133
held_out,4,delete_rest,8,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,3.5004254872053133
held_out,4,delete_rest,8,query_log,1.3862943611198906,0.8994919912677667,-7.356364000313694,3.5004254872053133
held_out,4,delete_timing,8,cost,0.18000566133609755,0.004342723494981163,-7.356364000313694,3.500394344804808
held_out,4,delete_timing,8,matched_log,1.3862943611198906,-0.20693137815060034,-7.356364000313694,3.500394344804808
held_out,4,delete_timing,8,reference_coverage,0.75,0.748986519339778,-7.356364000313694,3.500394344804808
held_out,4,delete_timing,8,query_coverage,1.0,2.2784448194846703,-7.356364000313694,3.500394344804808
held_out,4,delete_timing,8,mean_pitch_loss,0.0,0.0016502016945512438,-7.356364000313694,3.500394344804808
held_out,4,delete_timing,8,exact_pitch_fraction,1.0,3.369081528900875,-7.356364000313694,3.500394344804808
held_out,4,delete_timing,8,mean_timing_loss,0.006674215114796734,0.0018112986461270278,-7.356364000313694,3.500394344804808
held_out,4,delete_timing,8,missing_fraction,0.25,0.7489865193397823,-7.356364000313694,3.500394344804808
held_out,4,delete_timing,8,inserted_fraction,0.0,2.2784448194846694,-7.356364000313694,3.500394344804808
held_out,4,delete_timing,8,unreliable_query_fraction,0.0,0.0814702909182707,-7.356364000313694,3.500394344804808
held_out,4,delete_timing,8,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,3.500394344804808
held_out,4,delete_timing,8,query_log,1.3862943611198906,0.8994919912677667,-7.356364000313694,3.500394344804808
held_out,4,delete_transpose,8,cost,0.175,0.004360197683370138,-7.356364000313694,3.5004254872053133
held_out,4,delete_transpose,8,matched_log,1.3862943611198906,-0.20693137815060034,-7.356364000313694,3.5004254872053133
held_out,4,delete_transpose,8,reference_coverage,0.75,0.748986519339778,-7.356364000313694,3.5004254872053133
held_out,4,delete_transpose,8,query_coverage,1.0,2.2784448194846703,-7.356364000313694,3.5004254872053133
held_out,4,delete_transpose,8,mean_pitch_loss,0.0,0.0016502016945512438,-7.356364000313694,3.5004254872053133
held_out,4,delete_transpose,8,exact_pitch_fraction,1.0,3.369081528900875,-7.356364000313694,3.5004254872053133
held_out,4,delete_transpose,8,mean_timing_loss,0.0,0.001824966858244634,-7.356364000313694,3.5004254872053133
held_out,4,delete_transpose,8,missing_fraction,0.25,0.7489865193397823,-7.356364000313694,3.5004254872053133
held_out,4,delete_transpose,8,inserted_fraction,0.0,2.2784448194846694,-7.356364000313694,3.5004254872053133
held_out,4,delete_transpose,8,unreliable_query_fraction,0.0,0.0814702909182707,-7.356364000313694,3.5004254872053133
held_out,4,delete_transpose,8,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,3.5004254872053133
held_out,4,delete_transpose,8,query_log,1.3862943611198906,0.8994919912677667,-7.356364000313694,3.5004254872053133
held_out,4,delete_two,8,cost,0.35,0.003749292797332714,-7.356364000313694,1.029224714578512
held_out,4,delete_two,8,matched_log,1.0986122886681098,-0.4957903034393071,-7.356364000313694,1.029224714578512
